#received from email w mirko
Depth	Sulphate
m	ug/l
120.0727456	57.38150361
120.0819438	66.70930448
120.0911419	75.25675519
120.1003401	75.37486377
120.1095382	90.26313859
120.1187364	83.2930835
120.1279346	75.74229857
120.1371327	63.80804702
120.1463309	70.61946091
120.155529	81.84967559
120.1647272	85.46918547
120.1739253	63.34139649
120.1831235	50.91368138
120.1923217	53.56354111
120.2015198	70.98778554
120.210718	51.64237727
120.2199161	42.07923196
120.2291143	31.22007504
120.2383124	44.36531058
120.2475106	72.47673359
120.2567088	72.36087394
120.2659069	56.23035974
120.2751051	52.10697543
120.2843032	41.58252635
120.2935014	50.53643403
120.3026995	69.76897906
120.3118977	80.59609389
120.3210959	72.20775247
120.330294	57.02161509
120.3394922	59.06894503
120.3486903	61.46511088
120.3578885	59.5790901
120.3670866	62.99105498
120.3762848	60.54308284
120.3854829	63.1478759
120.3946811	73.2060351
120.4038793	73.20465814
120.4130774	78.37082017
120.4222756	94.38927924
120.4314737	169.2879233
120.4406719	139.1737381
120.44987	135.8724836
120.4590682	105.077895
120.4682664	83.44537526
120.4774645	62.16038552
120.4866627	50.13647284
120.4958608	55.33636444
120.505059	60.51725165
120.5142571	63.4232592
120.5234553	60.01520561
120.5326535	77.94130012
120.5418516	76.62585592
120.5510498	73.34518519
120.5602479	69.02178197
120.5694461	70.21344253
120.5786442	78.12973243
120.5878424	79.25308495
120.5970406	77.11540885
120.6062387	74.74223624
120.6154369	79.53446576
120.624635	65.27855608
120.6338332	54.34249511
120.6430313	52.90769868
120.6522295	50.83518935
120.6614276	51.93193121
120.6706258	63.13047036
120.679824	82.89951152
120.6890221	82.14849857
120.6982203	72.52549835
120.7074184	66.5467575
120.7166166	66.05852916
120.7258147	82.31096266
120.7350129	80.22129518
120.7442111	93.38274427
120.7534092	93.06642803
120.7626074	87.91324891
120.7718055	79.51502956
120.7810037	72.74054602
120.7902018	72.32323718
120.7994	81.01824824
120.8085982	91.55792724
120.8177963	92.35112701
120.8269945	88.14343974
120.8361926	77.1137923
120.8453908	56.50357222
120.8545889	68.90027851
120.8637871	119.0133866
120.8729853	122.5105826
120.8821834	71.89358828
120.8913816	73.95358112
120.9005797	85.54445257
120.9097779	95.09880225
120.918976	85.58297855
120.9281742	79.29389281
120.9373724	69.55654805
120.9465705	65.66036261
120.9557687	59.81241967
120.9649668	59.52195139
120.974165	68.92926591
120.9833631	73.3956569
120.9925613	50.19932565
121.0101091	57.75731101
121.0281292	68.97156101
121.0461494	55.55540775
121.0641696	46.68938332
121.0821897	52.58932559
121.1002099	60.84595883
121.1182301	49.13516191
121.1362502	56.18425346
121.1542704	53.66202827
121.1722906	72.70876591
121.1903107	72.66830474
121.2083309	79.16082208
121.2263511	129.5844582
121.2443712	116.6380638
121.2623914	163.6885954
121.2804115	166.1513051
121.2984317	161.3771309
121.3164519	165.9650804
121.334472	135.5571475
121.3524922	95.75429849
121.3705124	70.38618124
121.3885325	61.64052346
121.4065527	65.65004419
121.4245729	59.97519848
121.442593	55.08625433
121.4606132	52.19243819
121.4786334	41.46591855
121.4966535	47.95231154
121.5146737	44.35260016
121.5326939	44.55509602
121.550714	86.91048499
121.5817342	54.16019176
121.5997544	42.1178965
121.6177745	43.46243735
121.6357947	63.79403655
121.6538148	77.75594993
121.671835	60.32373345
121.6898552	68.06467049
121.7078753	73.27267597
121.7258955	73.72706765
121.7439157	49.00724015
121.7619358	48.72102901
121.779956	76.43110469
121.7979762	87.51771499
121.8159963	90.89344761
121.8340165	58.67096907
121.8520367	62.83294119
121.8700568	66.89203252
121.888077	56.36379879
121.9060972	62.0129548
121.9241173	60.43370497
121.9421375	60.41938671
121.9601577	60.63120278
121.9781778	58.47779896
122.007854	45.91936019
122.0164214	54.01706339
122.0249888	63.56697113
122.0335563	59.58898225
122.0421237	58.26665918
122.0506912	45.52384138
122.0592586	48.69633062
122.067826	45.0448358
122.0763935	53.34978848
122.0849609	52.32039939
122.0935284	66.43728855
122.1020958	64.37373165
122.1106633	64.26021812
122.1192307	48.65513665
122.1277981	54.90123747
122.1363656	48.71362544
122.144933	53.25537498
122.1535005	51.30176661
122.1620679	61.94567199
122.1706353	61.61661813
122.1792028	61.56886604
122.1877702	47.84745402
122.1963377	49.67442858
122.2049051	39.66589978
122.2134726	45.07854012
122.22204	46.40892178
122.2306074	56.0221972
122.2391749	41.73621761
122.2477423	43.84186471
122.2563098	35.34841142
122.2648772	39.434758
122.2734447	32.46205906
122.2820121	39.43998304
122.2905795	32.37699261
122.299147	37.59984198
122.3077144	57.20954147
122.3162819	73.80758445
122.3248493	51.73573648
122.3334167	46.97545323
122.3419842	37.89976403
122.3505516	41.6542695
122.3591191	32.95174834
122.3676865	57.75760644
122.376254	93.59930585
122.3848214	97.88620449
122.3933888	67.55876739
122.4019563	55.32719425
122.4105237	43.36041984
122.4190912	47.87366868
122.4276586	44.46971111
122.436226	59.03979601
122.4447935	52.73472707
122.4533609	55.52277289
122.4619284	41.00197341
122.4704958	46.78345843
122.4790633	41.36073104
122.4876307	49.57944889
122.4961981	45.41135764
122.5047656	67.94351921
122.513333	76.28147013
122.5219005	80.08925267
122.5304679	67.48731084
122.5390353	71.05874601
122.5476028	57.85199555
122.5561702	57.77769571
122.5647377	45.02675333
122.5733051	49.83690696
122.6568726	42.66535164
122.66544	51.94730265
122.6740074	54.2876424
122.6825749	68.29234894
122.6911423	78.93329847
122.6997098	89.75683921
122.7082772	71.67561958
122.7168447	71.12916348
122.7254121	66.82866816
122.7339795	84.95241068
122.742547	97.36754845
122.7511144	107.0542251
122.7596819	86.20727815
122.7682493	87.45176424
122.7768167	79.39626303
122.7853842	85.66520528
122.7939516	70.11233968
122.8025191	71.54316334
122.8110865	78.31014567
122.819654	104.5913155
122.8282214	103.3105169
122.8367888	89.68653323
122.8453563	73.22648353
122.8539237	76.58758258
122.8624912	60.89658338
122.8710586	64.53035641
122.879626	55.38690948
122.8881935	62.5724179
122.8967609	58.48414951
122.9053284	63.08294398
122.9138958	47.18239957
122.9224633	55.74458979
122.9310307	44.67116302
122.9395981	61.09686102
122.9481656	58.46938077
122.956733	71.8794165
122.9653005	52.33534024
122.9738679	37.97454774
122.9824353	73.3956569
122.9910028	50.19932565
123.0045045	37.9306964
123.0135135	46.65308599
123.0225225	54.57648986
123.0315315	59.41963106
123.0405405	57.96601267
123.0495495	56.46871431
123.0585586	64.58218477
123.0675676	66.49326136
123.0765766	57.82237919
123.0855856	52.93248179
123.0945946	52.21638871
