Depth (m)	count	age (b1950)	MCE
123.628	1.0	1351.0	28.5
123.703	1.0	1352.0	28.5
123.775	1.0	1353.0	28.5
123.837	1.0	1354.0	29.0
123.883	1.0	1355.0	29.0
123.957	1.0	1356.0	29.0
124.003	1.0	1357.0	29.0
124.064	1.0	1358.0	29.0
124.114	1.0	1359.0	29.0
124.244	1.0	1360.0	29.0
124.311	1.0	1361.0	29.0
124.425	1.0	1362.0	29.0
124.463	1.0	1363.0	29.0
124.534	1.0	1364.0	29.0
124.614	1.0	1365.0	29.0
124.697	1.0	1366.0	29.5
124.73	1.0	1367.0	29.5
124.818	1.0	1368.0	29.5
124.895	1.0	1369.0	29.5
124.96	1.0	1370.0	29.5
125.027	1.0	1371.0	29.5
125.057	1.0	1372.0	29.5
125.106	1.0	1373.0	29.5
125.182	1.0	1374.0	29.5
125.269	1.0	1375.0	29.5
125.335	1.0	1376.0	29.5
125.396	1.0	1377.0	29.5
125.474	1.0	1378.0	29.5
125.513	1.0	1379.0	29.5
125.614	1.0	1380.0	29.5
125.68	1.0	1381.0	29.5
125.742	1.0	1382.0	29.5
125.811	1.0	1383.0	29.5
125.89	1.0	1384.0	29.5
125.94	1.0	1385.0	29.5
126.009	1.0	1386.0	29.5
126.107	1.0	1387.0	29.5
126.177	1.0	1388.0	29.5
126.219	1.0	1389.0	29.5
126.304	1.0	1390.0	30.0
126.408	1.0	1391.0	30.0
126.459	1.0	1392.0	30.0
126.592	1.0	1393.0	30.5
126.638	1.0	1394.0	30.5
126.709	1.0	1395.0	30.5
126.797	1.0	1396.0	30.5
126.843	1.0	1397.0	30.5
126.918	1.0	1398.0	30.5
127.004	1.0	1399.0	30.5
127.102	1.0	1400.0	30.5
127.164	1.0	1401.0	30.5
127.214	1.0	1402.0	30.5
127.257	1.0	1403.0	30.5
127.305	1.0	1404.0	30.5
127.386	1.0	1405.0	30.5
127.438	1.0	1406.0	30.5
127.493	1.0	1407.0	30.5
127.553	1.0	1408.0	30.5
127.674	1.0	1409.0	31.0
127.737	1.0	1410.0	31.0
127.782	1.0	1411.0	31.5
127.868	1.0	1412.0	31.5
127.92	1.0	1413.0	31.5
127.991	1.0	1414.0	31.5
128.063	1.0	1415.0	31.5
128.129	1.0	1416.0	31.5
128.174	1.0	1417.0	31.5
128.238	1.0	1418.0	31.5
128.299	1.0	1419.0	31.5
128.379	1.0	1420.0	31.5
128.427	1.0	1421.0	31.5
128.464	1.0	1422.0	31.5
128.572	1.0	1423.0	31.5
128.684	1.0	1424.0	31.5
128.758	1.0	1425.0	31.5
128.842	1.0	1426.0	31.5
128.906	1.0	1427.0	31.5
128.958	1.0	1428.0	31.5
129.028	1.0	1429.0	32.0
129.057	1.0	1430.0	32.0
129.111	1.0	1431.0	32.0
129.192	1.0	1432.0	32.0
129.238	1.0	1433.0	32.0
129.31	1.0	1434.0	32.0
129.395	1.0	1435.0	32.0
129.489	1.0	1436.0	32.0
129.546	1.0	1437.0	32.0
129.597	1.0	1438.0	32.0
129.681	1.0	1439.0	32.0
129.725	1.0	1440.0	32.0
129.822	1.0	1441.0	32.0
129.865	1.0	1442.0	32.0
129.921	1.0	1443.0	32.0
130.004	1.0	1444.0	32.0
130.072	1.0	1445.0	32.0
130.151	1.0	1446.0	32.0
130.206	1.0	1447.0	32.0
130.284	1.0	1448.0	32.0
130.329	1.0	1449.0	32.0
130.414	1.0	1450.0	32.0
130.457	1.0	1451.0	32.0
130.49	1.0	1452.0	32.0
130.535	1.0	1453.0	32.0
130.601	1.0	1454.0	32.5
130.678	1.0	1455.0	32.5
130.743	1.0	1456.0	32.5
130.822	1.0	1457.0	32.5
130.889	1.0	1458.0	32.5
130.94	1.0	1459.0	32.5
