Depth	Count	Age
139.845	1.0	1634.0
139.923	1.0	1635.0
139.978	1.0	1636.0
140.062	1.0	1637.0
140.124	1.0	1638.0
140.207	1.0	1639.0
140.267	1.0	1640.0
140.336	1.0	1641.0
140.391	1.0	1642.0
140.5	1.0	1643.0
140.579	1.0	1644.0
140.631	1.0	1645.0
140.72	1.0	1646.0
140.798	0.5	1646.5
140.851	1.0	1647.5
140.891	1.0	1648.5
140.955	1.0	1649.5
141.011	1.0	1650.5
141.081	1.0	1651.5
141.143	1.0	1652.5
141.187	0.5	1653.0
141.275	1.0	1654.0
141.355	1.0	1655.0
141.405	1.0	1656.0
141.449	1.0	1657.0
141.5	1.0	1658.0
141.562	1.0	1659.0
141.611	1.0	1660.0
141.671	1.0	1661.0
141.77	1.0	1662.0
141.832	1.0	1663.0
141.914	1.0	1664.0
142.006	1.0	1665.0
142.083	1.0	1666.0
142.144	1.0	1667.0
142.225	1.0	1668.0
142.293	1.0	1669.0
142.383	0.5	1669.5
142.471	1.0	1670.5
142.562	1.0	1671.5
142.605	1.0	1672.5
142.697	1.0	1673.5
142.773	0.5	1674.0
142.833	1.0	1675.0
142.922	1.0	1676.0
142.957	1.0	1677.0
142.988	1.0	1678.0
143.053	1.0	1679.0
143.122	1.0	1680.0
143.197	1.0	1681.0
143.278	1.0	1682.0
143.353	1.0	1683.0
143.398	1.0	1684.0
143.451	1.0	1685.0
143.513	1.0	1686.0
143.614	1.0	1687.0
143.664	1.0	1688.0
143.759	1.0	1689.0
143.822	1.0	1690.0
143.904	1.0	1691.0
143.957	1.0	1692.0
144.034	1.0	1693.0
144.093	1.0	1694.0
144.16	1.0	1695.0
144.263	1.0	1696.0
144.341	1.0	1697.0
144.423	1.0	1698.0
144.488	1.0	1699.0
144.557	1.0	1700.0
144.609	1.0	1701.0
144.693	1.0	1702.0
144.735	1.0	1703.0
144.833	1.0	1704.0
144.903	1.0	1705.0
145.004	1.0	1706.0
145.08	1.0	1707.0
145.125	1.0	1708.0
145.191	1.0	1709.0
145.29	1.0	1710.0
145.368	1.0	1711.0
145.443	1.0	1712.0
145.569	1.0	1713.0
145.614	1.0	1714.0
145.683	1.0	1715.0
145.737	0.5	1715.5
145.791	1.0	1716.5
145.837	1.0	1717.5
145.907	0.5	1718.0
145.962	1.0	1719.0
146.025	1.0	1720.0
146.075	1.0	1721.0
146.129	1.0	1722.0
146.182	1.0	1723.0
146.279	1.0	1724.0
146.347	1.0	1725.0
146.412	1.0	1726.0
146.513	1.0	1727.0
146.59	1.0	1728.0
146.686	1.0	1729.0
146.745	1.0	1730.0
146.796	1.0	1731.0
146.863	1.0	1732.0
146.937	1.0	1733.0
147.047	1.0	1734.0
147.097	1.0	1735.0
147.142	1.0	1736.0
147.24	1.0	1737.0
147.295	1.0	1738.0
147.35	1.0	1739.0
147.408	1.0	1740.0
147.511	1.0	1741.0
147.566	1.0	1742.0
147.625	1.0	1743.0
147.738	1.0	1744.0
147.829	1.0	1745.0
147.898	1.0	1746.0
147.945	1.0	1747.0
148.005	1.0	1748.0
148.055	1.0	1749.0
148.137	1.0	1750.0
148.209	1.0	1751.0
148.269	1.0	1752.0
148.333	1.0	1753.0
148.407	1.0	1754.0
148.507	1.0	1755.0
148.567	1.0	1756.0
148.623	1.0	1757.0
148.709	1.0	1758.0
148.785	0.5	1758.5
148.843	1.0	1759.5
148.916	1.0	1760.5
148.981	1.0	1761.5
149.015	0.5	1762.0
149.117	1.0	1763.0
149.198	1.0	1764.0
149.285	1.0	1765.0
149.39	1.0	1766.0
149.475	1.0	1767.0
149.542	1.0	1768.0
149.615	1.0	1769.0
149.692	1.0	1770.0
149.736	1.0	1771.0
149.793	1.0	1772.0
149.876	1.0	1773.0
149.931	1.0	1774.0
149.957	1.0	1775.0
150.035	1.0	1776.0
150.135	1.0	1777.0
150.182	1.0	1778.0
150.246	1.0	1779.0
150.324	1.0	1780.0
150.39	1.0	1781.0
150.451	1.0	1782.0
150.526	1.0	1783.0
150.593	1.0	1784.0
150.647	1.0	1785.0
150.699	0.5	1785.5
150.774	1.0	1786.5
150.85	1.0	1787.5
150.889	0.5	1788.0
150.932	1.0	1789.0
151.006	1.0	1790.0
151.045	1.0	1791.0
151.102	1.0	1792.0
151.154	1.0	1793.0
151.242	0.5	1793.5
151.271	1.0	1794.5
151.346	1.0	1795.5
151.409	1.0	1796.5
151.517	1.0	1797.5
151.612	1.0	1798.5
151.698	1.0	1799.5
151.78	1.0	1800.5
151.844	1.0	1801.5
151.913	1.0	1802.5
151.988	0.5	1803.0
152.11	1.0	1804.0
152.189	1.0	1805.0
152.282	1.0	1806.0
152.333	1.0	1807.0
152.386	1.0	1808.0
152.451	1.0	1809.0
152.534	1.0	1810.0
152.606	1.0	1811.0
152.667	1.0	1812.0
152.714	1.0	1813.0
152.791	1.0	1814.0
152.863	1.0	1815.0
152.907	1.0	1816.0
152.957	1.0	1817.0
153.013	1.0	1818.0
153.052	1.0	1819.0
153.118	1.0	1820.0
153.166	1.0	1821.0
153.212	1.0	1822.0
153.261	1.0	1823.0
153.293	1.0	1824.0
153.351	1.0	1825.0
153.405	1.0	1826.0
153.455	1.0	1827.0
153.543	1.0	1828.0
153.647	1.0	1829.0
153.744	1.0	1830.0
153.817	1.0	1831.0
153.874	1.0	1832.0
153.945	1.0	1833.0
153.982	1.0	1834.0
154.038	1.0	1835.0
154.068	0.5	1835.5
154.132	1.0	1836.5
154.186	1.0	1837.5
154.215	1.0	1838.5
154.262	1.0	1839.5
154.328	1.0	1840.5
154.397	1.0	1841.5
154.496	1.0	1842.5
154.544	1.0	1843.5
154.608	1.0	1844.5
154.69	1.0	1845.5
154.739	1.0	1846.5
154.827	0.5	1847.0
154.862	1.0	1848.0
154.941	1.0	1849.0
155.003	1.0	1850.0
155.03	0.5	1850.5
155.113	1.0	1851.5
155.19	1.0	1852.5
155.259	1.0	1853.5
155.328	1.0	1854.5
155.382	1.0	1855.5
155.443	1.0	1856.5
155.517	1.0	1857.5
155.622	1.0	1858.5
155.666	1.0	1859.5
155.715	1.0	1860.5
155.76	1.0	1861.5
155.828	1.0	1862.5
155.878	1.0	1863.5
155.979	1.0	1864.5
156.095	1.0	1865.5
156.186	1.0	1866.5
156.263	1.0	1867.5
156.318	1.0	1868.5
156.376	1.0	1869.5
156.417	0.5	1870.0
156.468	1.0	1871.0
156.531	1.0	1872.0
156.654	1.0	1873.0
