Depth_m,nssS
17.541,0.696
17.557,0.701
17.574,0.592
17.59,0.472
17.607,0.288
17.623,-0.039
17.64,-0.358
17.657,-0.615
17.673,-0.748
17.69,-0.537
17.706,-0.352
17.723,-0.471
17.739,-0.937
17.756,-0.779
17.772,-0.798
17.789,-0.752
17.806,-0.757
17.822,-0.716
17.839,-0.71
17.855,-0.699
17.872,-0.68
17.888,-0.635
17.905,-0.514
17.922,-0.465
17.938,-0.459
17.955,-0.42
17.971,-0.393
17.988,-0.345
18.004,-0.347
18.021,-0.44
18.037,-0.559
18.054,-0.685
18.07,-0.839
18.087,-0.926
18.103,-1.078
18.12,-1.169
18.136,-1.209
18.153,-1.216
18.169,-1.202
18.186,-1.172
18.202,-1.09
18.219,-0.974
18.235,-0.816
18.252,-0.637
18.268,-0.505
18.285,-0.427
18.301,-0.319
18.318,-0.259
18.334,-0.237
18.351,-0.246
18.367,-0.318
18.384,-0.348
18.4,-0.363
18.417,-0.385
18.433,-0.383
18.45,-0.33
18.466,-0.225
18.483,-0.113
18.499,-0.011
18.515,0.189
18.532,0.347
18.548,0.504
18.565,0.676
18.581,0.926
18.598,1.137
18.614,1.232
18.631,0.953
18.647,0.857
18.663,0.871
18.68,0.743
18.696,0.632
18.713,0.499
18.729,0.311
18.745,0.096
18.762,-0.109
18.778,-0.232
18.795,-0.296
18.811,-0.367
18.827,-0.394
18.844,-0.329
18.86,-0.218
18.877,-0.074
18.893,0.129
18.909,0.265
18.926,0.317
18.942,0.373
18.959,0.347
18.975,0.315
18.991,0.247
19.008,0.125
19.024,-0.134
19.04,-0.389
19.057,-0.597
19.073,-0.74
19.089,-0.837
19.106,-0.911
19.122,-0.952
19.139,-0.99
19.155,-1.004
19.171,-0.955
19.188,-0.884
19.204,-0.786
19.22,-0.723
19.237,-0.662
19.253,-0.516
19.269,-0.404
19.286,-0.258
19.302,-0.24
19.318,-0.308
19.335,-0.27
19.351,-0.326
19.367,-0.434
19.384,-0.58
19.4,-0.669
19.416,-0.681
19.433,-0.682
19.449,-0.521
19.465,-0.276
19.482,0.008
19.498,0.275
19.514,0.631
19.53,0.82
19.547,0.964
19.563,0.98
19.579,0.812
19.596,0.732
19.612,0.511
19.628,0.293
19.644,0.2
19.661,0.099
19.677,0.058
19.693,0.016
19.709,-0.039
19.726,0.001
19.742,0.142
19.758,0.274
19.775,0.325
19.791,0.392
19.807,0.501
19.823,0.693
19.84,0.731
19.856,0.7
19.872,0.688
19.888,0.418
19.921,0.025
19.937,-0.399
19.953,-0.655
19.97,-0.862
19.986,-1.037
20.002,-1.092
20.018,-1.055
20.034,-1.034
20.051,-0.952
20.067,-0.86
20.083,-0.769
20.099,-0.574
20.116,-0.35
20.132,-0.022
20.148,0.402
20.164,0.849
20.181,1.078
20.197,1.004
20.213,0.86
20.229,0.655
20.245,0.367
20.262,0.091
20.278,-0.143
20.294,-0.319
20.31,-0.475
20.326,-0.645
20.342,-0.761
20.359,-0.827
20.375,-0.805
20.391,-0.76
20.407,-0.657
20.423,-0.425
20.44,-0.23
20.456,-0.008
20.472,0.266
20.488,0.477
20.504,0.573
20.52,0.605
20.537,0.62
20.553,0.497
20.569,0.176
20.585,-0.094
20.601,-0.254
20.617,-0.355
20.633,-0.456
20.65,-0.522
20.666,-0.54
20.682,-0.541
20.698,-0.536
20.714,-0.537
20.73,-0.504
20.746,-0.557
20.762,-0.567
20.779,-0.587
20.795,-0.526
20.811,-0.466
20.827,-0.376
20.843,-0.38
20.859,-0.343
20.875,-0.314
20.892,-0.223
20.908,-0.202
20.924,-0.144
20.94,-0.057
20.956,-0.007
20.972,-0.037
20.988,-0.094
21.004,-0.125
21.02,-0.148
21.036,-0.018
21.053,-0.371
21.069,-0.531
21.085,-0.54
21.101,-0.595
21.117,-0.555
21.133,-0.528
21.149,-0.474
21.165,-0.38
21.181,-0.259
21.197,-0.13
21.213,-0.041
21.229,-0.051
21.246,-0.08
21.262,-0.061
21.278,-0.128
21.294,-0.241
21.31,-0.337
21.326,-0.459
21.342,-0.505
21.358,-0.572
21.374,-0.549
21.39,-0.505
21.406,-0.408
21.422,-0.289
21.438,-0.134
21.454,0.015
21.47,0.249
21.486,0.376
21.502,0.498
21.518,0.494
21.534,0.563
21.55,0.486
21.567,0.558
21.583,0.451
21.599,0.319
21.615,0.116
21.631,-0.07
21.647,-0.21
21.663,-0.414
21.679,-0.549
21.695,-0.645
21.711,-0.59
21.727,-0.564
21.743,-0.491
21.759,-0.462
21.775,-0.437
21.791,-0.328
21.807,-0.177
21.823,-0.04
21.839,0.077
21.855,0.089
21.871,0.136
21.887,0.112
21.903,-0.013
21.919,-0.145
21.935,-0.296
21.951,-0.45
21.967,-0.512
21.982,-0.508
21.998,-0.52
22.014,-0.473
22.03,-0.451
22.046,-0.415
22.062,-0.351
22.078,-0.273
22.094,-0.155
22.11,-0.062
22.126,0.135
22.142,0.3
22.158,0.447
22.19,0.508
22.206,0.525
22.222,0.422
22.238,0.284
22.254,-0.025
22.397,-0.282
22.413,-0.203
22.429,-0.083
22.445,0.068
22.461,0.215
22.477,0.428
22.493,0.531
22.509,0.557
22.525,0.52
22.54,0.405
22.556,0.37
22.572,0.33
22.588,0.161
22.604,-0.062
22.62,-0.247
22.636,-0.406
22.652,-0.517
22.668,-0.574
22.684,-0.632
22.699,-0.567
22.715,-0.528
22.731,-0.632
22.747,-0.536
22.763,-0.437
22.779,-0.285
22.795,-0.086
22.811,0.108
22.827,0.314
22.842,0.433
22.858,0.626
22.874,0.632
22.89,0.592
22.906,0.546
22.922,0.43
22.938,0.28
22.953,0.093
22.969,-0.009
22.985,-0.124
23.001,-0.159
23.017,-0.123
23.033,-0.146
23.049,-0.082
23.064,0.036
23.08,0.135
23.096,0.286
23.112,0.447
23.128,0.605
23.144,0.746
23.16,0.756
23.175,0.783
23.191,0.83
23.207,0.842
23.223,0.835
23.239,0.894
23.254,0.912
23.27,0.91
23.286,0.884
23.302,0.901
23.318,1.002
23.334,1.136
23.349,1.664
23.365,1.744
23.381,1.213
23.397,1.21
23.413,1.207
23.428,1.029
23.444,0.803
23.46,0.609
23.476,0.481
23.492,0.291
23.507,0.049
23.523,-0.163
23.539,-0.289
23.555,-0.405
23.571,-0.497
23.586,-0.589
23.602,-0.652
23.618,-0.661
23.634,-0.637
23.65,-0.6
23.665,-0.512
23.681,-0.379
23.697,-0.301
23.713,-0.265
23.728,-0.162
23.744,0.009
23.76,0.107
23.776,0.221
23.792,0.377
23.807,0.499
23.823,0.53
23.839,0.502
23.855,0.478
23.87,0.461
23.886,0.415
23.902,0.357
23.918,0.28
23.933,0.138
23.949,0.072
23.965,0.031
23.981,-0.101
23.996,-0.033
24.012,0.142
24.028,0.349
24.044,0.425
24.059,0.473
24.075,0.489
24.091,0.374
24.138,0.338
24.154,0.219
24.169,0.124
24.185,-0.063
24.201,-0.112
24.217,-0.259
24.232,-0.385
24.248,-0.513
24.264,-0.585
24.279,-0.683
24.295,-0.758
24.311,-0.798
24.327,-0.783
24.342,-0.664
24.358,-0.603
24.374,-0.556
24.389,-0.437
24.405,-0.315
24.421,-0.179
24.437,-0.108
24.452,0.05
24.468,0.234
24.484,0.253
24.499,0.067
24.515,-0.041
24.531,-0.121
24.546,-0.213
24.562,-0.321
24.578,-0.436
24.593,-0.561
24.609,-0.597
24.625,-0.657
24.64,-0.667
24.656,-0.687
24.672,-0.679
24.687,-0.661
24.703,-0.58
24.719,-0.523
24.734,-0.473
24.75,-0.406
24.766,-0.331
24.781,-0.246
24.797,-0.118
24.813,-0.048
24.828,0.036
24.844,0.098
24.86,0.104
24.875,0.107
24.891,0.077
24.907,0.012
24.922,-0.058
24.938,-0.161
24.954,-0.187
24.969,-0.243
