Depth,S
1307.755,14.05
1307.765,15.095
1307.775,17.525
1307.785,24.11
1307.795,31.079
1307.805,32.744
1307.815,33.858
1307.825,34.639
1307.835,33.582
1307.845,29.145
1307.855,25.591
1307.865,22.025
1307.875,17.979
1307.885,13.749
1307.895,10.157
1307.905,9.432
1307.915,8.411
1307.925,7.778
1307.935,9.095
1307.945,9.991
1307.955,9.354
1307.965,9.64
1307.975,11.005
1307.985,10.132
1307.995,8.211
1308.005,7.671
1308.015,7.961
1308.025,8.334
1308.035,8.325
1308.045,8.705
1308.055,9.792
1308.065,10.203
1308.075,10.96
1308.085,12.933
1308.095,14.215
1308.105,13.641
1308.115,11.911
1308.125,11.122
1308.135,10.812
1308.145,10.077
1308.155,9.245
1308.165,9.612
1308.175,10.2
1308.185,9.317
1308.195,9.204
1308.205,10.917
1308.215,12.263
1308.225,12.522
1308.235,13.312
1308.245,13.694
1308.255,14.134
1308.265,12.427
1308.275,12.24
1308.285,12.931
1308.295,12.515
1308.305,11.343
1308.315,12.109
1308.325,12.807
1308.335,11.185
1308.345,9.608
1308.355,9.739
1308.365,10.654
1308.375,11.464
1308.385,12.173
1308.395,14.515
1308.405,15.886
1308.415,16.269
1308.425,18.402
1308.435,19.633
1308.445,19.735
1308.455,19.182
1308.465,18.784
1308.475,18.101
1308.485,16.69
1308.495,14.582
1308.505,14.114
1308.515,13.276
1308.525,10.343
1308.535,9.304
1308.545,10.009
1308.555,10.615
1308.565,10.332
1308.575,10.927
1308.585,12.674
1308.595,14.116
1308.605,14.7
1308.615,16.29
1308.625,18.172
1308.635,18.305
1308.645,16.68
1308.655,15.114
1308.665,14.138
1308.675,12.61
1308.685,11.87
1308.695,11.866
1308.705,11.36
1308.715,10.293
1308.725,10.223
1308.735,10.93
1308.745,11.156
1308.755,11.335
1308.765,12.81
1308.775,13.924
1308.795,15.388
1308.805,15.306
1308.815,14.252
1308.825,12.7
1308.835,11.212
1308.845,7.849
1308.855,8.351
1308.865,9.853
1308.875,10.627
1308.885,10.312
1308.895,11.549
1308.905,12.896
1308.915,13.231
1308.925,13.122
1308.935,13.936
1308.945,15.816
1308.955,14.785
1308.965,13.625
1308.975,12.575
1308.985,9.51
1308.995,7.94
1309.005,10.027
1309.015,10.37
1309.025,10.982
1309.035,9.779
1309.045,13.245
1309.055,16.23
1309.065,17.369
1309.075,17.894
1309.085,18.765
1309.095,18.107
1309.105,15.352
1309.115,13.085
1309.125,11.514
1309.135,9.735
1309.145,8.137
1309.155,8.375
1309.165,10.131
1309.175,10.888
1309.185,11.664
1309.195,13.18
1309.205,12.728
1309.215,9.778
1309.225,7.767
1309.235,7.831
1309.245,7.423
1309.255,6.011
1309.265,5.53
1309.275,6.2
1309.285,6.258
1309.295,6.319
1309.305,7.757
1309.315,8.933
1309.325,9.736
1309.335,11.274
1309.345,12.959
1309.355,13.901
1309.365,14.128
1309.375,15.022
1309.385,14.514
1309.395,11.847
1309.405,10.11
1309.415,9.745
1309.425,9.717
1309.435,8.887
1309.445,8.514
1309.455,9.669
1309.465,10.207
1309.475,10.081
1309.485,12.087
1309.495,13.722
1309.505,13.339
1309.515,12.701
1309.525,11.684
1309.535,11.16
1309.545,9.881
1309.555,10.746
1309.565,11.602
1309.575,10.873
1309.585,10.878
1309.595,12.009
1309.605,13.487
1309.615,13.745
1309.625,13.703
1309.635,13.757
1309.645,13.887
1309.655,12.822
1309.665,12.2
1309.675,12.315
1309.685,11.684
1309.695,10.767
1309.705,11.22
1309.715,12.024
1309.725,11.923
1309.735,12.317
1309.745,14.298
1309.755,15.573
1309.765,15.481
1309.775,14.8
1309.785,15.079
1309.795,15.09
1309.805,12.78
1309.815,10.898
1309.825,10.528
1309.835,9.914
1309.845,9.461
1309.855,9.437
1309.865,10.003
1309.875,9.805
1309.885,10.015
1309.905,11.022
1309.915,12.161
1309.925,13.255
1309.935,12.803
1309.945,12.796
1309.955,12.995
1309.965,12.21
1309.975,10.334
1309.985,9.395
1309.995,8.968
1310.005,8.682
1310.015,8.411
1310.025,9.555
1310.035,10.992
1310.045,12.026
1310.055,12.676
1310.065,13.811
1310.075,13.942
1310.085,13.766
1310.095,14.96
1310.105,15.482
1310.115,14.744
1310.125,12.869
1310.135,10.99
1310.145,10.155
1310.155,9.873
1310.165,8.583
1310.175,8.315
1310.185,8.592
1310.195,8.614
1310.205,9.661
1310.215,12.24
1310.225,13.973
1310.235,14.591
1310.245,14.206
1310.255,14.566
1310.265,14.478
1310.275,12.494
1310.285,9.731
1310.295,9.068
1310.305,9.018
1310.315,7.888
1310.325,7.899
1310.335,8.696
1310.345,9.199
1310.355,9.588
1310.365,10.63
1310.375,12.493
1310.385,13.778
1310.395,13.749
1310.405,13.991
1310.415,14.225
1310.425,14.408
1310.435,12.806
1310.445,11.739
1310.455,11.537
1310.465,10.678
1310.475,9.572
1310.485,9.635
1310.495,10.096
1310.505,10.283
1310.515,11.072
1310.525,14.232
1310.535,16.27
1310.545,15.945
1310.555,15.182
1310.565,15.999
1310.575,15.957
1310.585,14.583
1310.595,12.681
1310.605,11.827
1310.615,11.101
1310.625,9.629
1310.635,9.024
1310.645,9.787
1310.655,10.531
1310.665,11.705
1310.675,13.109
1310.685,14.609
1310.695,14.715
1310.705,14.348
1310.715,14.567
1310.725,14.811
1310.735,14.729
1310.745,14.984
1310.755,16.008
1310.765,16.15
1310.775,15.292
1310.785,13.345
1310.795,13.223
1310.805,13.123
1310.815,12.463
1310.825,13.412
1310.835,15.531
1310.845,17.903
1310.855,18.972
1310.865,19.1
1310.875,19.405
1310.885,18.686
1310.895,16.341
1310.905,13.374
1310.915,11.469
1310.925,10.136
1310.935,9.151
1310.945,9.084
1310.955,9.445
1310.965,9.474
1310.975,8.811
1310.985,7.9
1310.995,8.041
1311.005,8.782
1311.015,9.534
1311.025,10.458
1311.035,12.324
1311.045,15.329
1311.055,17.216
1311.065,16.853
1311.075,15.284
1311.085,13.195
1311.095,10.887
1311.105,9.113
1311.115,8.771
1311.125,10.151
1311.135,11.665
1311.145,11.932
1311.155,11.833
1311.165,13.994
1311.175,16.675
1311.185,19.371
1311.195,20.708
1311.205,19.66
1311.225,17.69
1311.235,16.859
1311.245,15.934
1311.255,14.04
1311.265,11.375
1311.275,9.938
1311.285,9.499
1311.295,9.513
1311.305,9.81
1311.315,10.801
1311.325,11.79
1311.335,11.928
1311.345,11.74
1311.355,13.194
1311.365,15.585
1311.375,17.034
1311.385,17.757
1311.395,18.343
1311.405,18.595
1311.415,18.24
1311.425,17.109
1311.435,15.736
1311.445,15.655
1311.455,15.487
1311.465,14.336
1311.475,13.374
1311.485,13.571
1311.495,14.399
1311.505,15.431
1311.515,15.135
1311.525,15.145
1311.535,15.436
1311.545,16.356
1311.555,16.389
1311.565,15.68
1311.575,14.204
1311.585,13.294
1311.595,12.323
1311.605,10.86
1311.615,10.463
1311.625,10.725
1311.635,11.264
1311.645,11.497
1311.655,11.296
1311.665,11.905
1311.675,12.537
1311.685,13.519
1311.695,13.854
1311.705,15.189
1311.715,15.73
1311.725,15.197
1311.735,14.966
1311.745,15.023
1311.755,15.191
1311.765,14.286
1311.775,12.28
