Depth_m,nssS_Na_ratio
13.394,-0.8
13.412,-0.817
13.429,-0.821
13.447,-0.825
13.464,-0.82
13.482,-0.771
13.499,-0.704
13.517,-0.591
13.534,-0.452
13.551,-0.396
13.569,-0.398
13.586,-0.424
13.604,-0.437
13.621,-0.519
13.638,-0.503
13.656,-0.527
13.673,-0.599
13.69,-0.643
13.708,-0.685
13.725,-0.705
13.742,-0.717
13.76,-0.721
13.777,-0.726
13.794,-0.703
13.812,-0.624
13.846,-0.549
13.864,-0.467
13.881,-0.373
13.898,-0.23
13.916,-0.049
13.933,0.115
13.95,0.154
13.968,0.286
13.985,0.648
14.003,0.981
14.02,1.105
14.037,1.216
14.054,1.356
14.072,1.24
14.089,0.856
14.106,0.644
14.227,0.09
14.244,0.062
14.262,0.343
14.279,0.617
14.296,0.877
14.313,1.054
14.331,1.064
14.348,0.905
14.365,0.607
14.382,0.248
14.399,-0.017
14.416,-0.259
14.434,-0.47
14.451,-0.613
14.468,-0.702
14.485,-0.765
14.502,-0.801
14.52,-0.809
14.537,-0.799
14.554,-0.792
14.571,-0.769
14.588,-0.711
14.606,-0.65
14.623,-0.578
14.64,-0.518
14.657,-0.404
14.674,-0.357
14.691,-0.38
14.709,-0.439
14.726,-0.485
14.743,-0.549
14.76,-0.591
14.777,-0.588
14.794,-0.587
14.811,-0.539
14.828,-0.414
14.845,-0.224
14.863,0.094
14.88,0.704
14.897,1.556
14.914,2.16
14.931,3.051
14.948,3.625
14.965,3.185
14.982,2.359
14.999,1.508
15.016,0.765
15.033,0.33
15.05,0.069
15.068,-0.249
15.085,-0.494
15.102,-0.602
15.119,-0.681
15.136,-0.734
15.153,-0.764
15.17,-0.788
15.187,-0.811
15.204,-0.821
15.221,-0.818
15.238,-0.812
15.255,-0.801
15.272,-0.774
15.289,-0.742
15.306,-0.685
15.323,-0.591
15.34,-0.511
15.357,-0.403
15.374,-0.298
15.391,-0.258
15.408,-0.296
15.425,-0.412
15.442,-0.556
15.476,-0.597
15.493,-0.597
15.51,-0.592
15.527,-0.552
15.544,-0.503
15.561,-0.452
15.578,-0.333
15.595,-0.21
15.612,0.033
15.629,0.346
15.646,0.683
15.663,0.916
15.68,1.058
15.697,1.251
15.714,1.184
15.73,0.974
15.747,0.542
15.764,0.17
15.781,-0.092
15.798,-0.255
15.815,-0.288
15.832,-0.229
15.849,-0.189
15.866,-0.188
15.883,-0.167
15.9,-0.045
15.916,0.088
15.933,0.156
15.95,0.216
15.967,0.191
15.984,-0.019
16.001,-0.319
16.018,-0.497
16.035,-0.546
16.051,-0.481
16.068,-0.436
16.085,-0.331
16.102,-0.205
16.119,-0.116
16.136,0.068
16.152,0.204
16.169,0.322
16.186,0.587
16.203,0.882
16.22,1.15
16.237,1.553
16.254,2.184
16.27,2.526
16.287,2.586
16.304,2.536
16.321,2.343
16.338,2.131
16.355,1.755
16.371,1.394
16.388,0.971
16.405,0.637
16.422,0.428
16.438,0.347
16.455,0.28
16.472,0.12
16.489,0.008
16.506,-0.032
16.522,-0.004
16.539,0.075
16.556,0.228
16.573,0.491
16.59,0.942
16.606,1.466
16.623,1.722
16.64,1.915
16.657,1.689
16.673,1.214
16.69,0.726
16.707,0.402
16.724,0.145
16.74,-0.124
16.757,-0.2
16.774,-0.244
16.791,-0.258
16.807,-0.402
16.824,-0.491
16.841,-0.529
16.857,-0.537
16.874,-0.507
16.891,-0.498
16.908,-0.467
16.924,-0.472
16.941,-0.416
16.958,-0.394
16.974,-0.376
16.991,-0.318
17.008,-0.257
17.025,-0.355
17.041,-0.436
17.058,-0.541
17.075,-0.624
17.091,-0.655
17.108,-0.653
17.125,-0.651
17.141,-0.651
17.158,-0.658
17.175,-0.668
17.191,-0.662
17.208,-0.661
17.225,-0.653
17.241,-0.631
17.258,-0.537
17.275,-0.385
17.291,-0.075
17.308,0.397
17.324,0.406
17.341,0.292
17.358,0.298
17.374,0.297
17.391,0.233
17.408,0.234
17.424,0.183
17.441,0.263
17.457,0.569
17.474,0.887
17.491,1.27
17.507,1.48
17.524,1.49
17.541,1.281
17.557,0.793
17.574,0.18
17.59,-0.208
17.607,-0.427
17.623,-0.588
17.64,-0.691
17.657,-0.739
17.673,-0.768
17.69,-0.747
17.706,-0.725
17.723,-0.705
17.739,-0.764
17.756,-0.737
17.772,-0.728
17.789,-0.704
17.806,-0.686
17.822,-0.652
17.839,-0.626
17.855,-0.601
17.872,-0.575
17.888,-0.554
17.905,-0.515
17.922,-0.512
17.938,-0.514
17.955,-0.5
17.971,-0.474
17.988,-0.428
18.004,-0.37
18.021,-0.342
18.037,-0.325
18.054,-0.328
18.07,-0.356
18.087,-0.356
18.103,-0.4
18.12,-0.446
18.136,-0.442
18.153,-0.446
18.169,-0.446
18.186,-0.448
18.202,-0.419
