Depth(m),NO3(ng/g)
590.3965000000089,32.66872622680055
590.419400000009,36.1006068283276
590.442300000009,33.01714086591183
590.4652000000091,30.11756282095292
590.4881000000091,19.394557042510524
590.5110000000092,20.359666144379034
590.5339000000092,24.808942679913862
590.5568000000093,25.096740973443044
590.5797000000093,12.518670544370995
590.6026000000094,12.617596701460107
590.6255000000094,25.474557069058914
590.6484000000095,31.35629804541625
590.6713000000095,36.960458890941446
590.6942000000096,42.95483295388402
590.7171000000096,51.34252087489596
590.7400000000097,44.84672276949643
590.7629000000097,30.956679634151385
590.7858000000098,25.200017235242886
590.8087000000098,29.423921408659123
590.8316000000099,26.69912170291853
590.8550000000099,38.33250875681451
590.8781000000099,36.313951073993906
590.9009000000099,21.129824842447384
590.9237000000098,20.935838889871324
590.9465000000098,23.390077052443065
590.9693000000098,20.326382864648465
590.9921000000097,27.594952701185115
591.0149000000097,28.135933203651888
591.0377000000096,31.32482326472104
591.0605000000096,28.062615903064877
591.0833000000096,24.18451244566582
591.1061000000095,20.04471236030638
591.1289000000095,17.728528403682564
591.1517000000094,14.452672695514778
591.1745000000094,16.93217888332519
591.1973000000094,15.975263437113167
591.2201000000093,26.55191257858559
591.2429000000093,36.46262164814584
591.2657000000092,44.8883754574641
591.2885000000092,41.26011185891768
591.3113000000092,40.30994044237433
591.3341000000091,49.2535753373969
591.3569000000091,39.26850334923173
591.379700000009,29.97279810262865
591.402500000009,22.440677519723994
591.425300000009,15.946634507496709
591.4481000000089,24.836398783178534
591.4709000000089,27.60498476069612
591.4937000000089,32.05217500084652
591.5165000000088,34.634170761904834
591.5393000000088,38.89000135422585
591.5621000000087,43.32235895408792
591.5849000000087,39.031713589146435
591.6077000000087,32.790024679771925
591.6305000000086,16.73174932949306
591.6533000000086,13.704537810463975
591.6761000000085,12.854199508640182
591.6989000000085,15.996243945768096
591.7217000000085,21.672671226994677
591.7445000000084,24.267161120530933
591.7673000000084,32.46231559898116
591.7901000000084,26.955513065202435
591.8129000000083,24.68656690536274
591.8360000000083,19.530234154764756
591.8610000000083,23.357015609891906
591.8849000000083,17.246811915928877
591.9088000000083,15.8782567480083
591.9327000000084,14.799375171203785
591.9566000000084,19.79040080062304
591.9805000000084,36.7892236892934
592.0044000000084,43.715999848062474
592.0283000000085,43.71114324252165
592.0522000000085,37.02032690853408
592.0761000000085,30.65468933516213
592.1000000000085,31.516468707474008
592.1239000000086,33.215267736711986
592.1478000000086,27.73720997166968
592.1717000000086,25.64003481253394
592.1956000000087,27.41138903935843
592.2195000000087,22.86155638542436
592.2434000000087,31.962372974457562
592.2673000000087,33.24360795401478
592.2912000000088,28.534735892930282
592.3151000000088,25.118412338461646
592.3390000000088,26.41832647962888
592.3629000000088,26.713144537685782
592.3868000000089,26.044075096777608
592.4107000000089,19.059965533861075
592.4346000000089,19.428958813813754
592.4585000000089,20.592885713486336
592.482400000009,30.879879341780182
592.506300000009,31.494994781535304
592.530200000009,29.708833565970508
592.554100000009,31.80304135619776
592.5780000000091,32.973995560781624
592.6019000000091,24.43923175877864
592.6258000000091,22.073874217906415
592.6497000000091,22.234019563329017
592.6736000000092,26.6002573029106
592.6975000000092,25.803660900349865
592.7214000000092,32.94125973972226
592.7453000000093,38.73172107432682
592.7692000000093,35.48505231935949
592.7931000000093,25.107576655952347
592.8180000000093,13.882231661480926
592.8407000000093,13.522791491667931
592.8610000000093,15.118507147670073
592.8813000000093,14.140565674638262
592.9016000000094,8.509747246917714
592.9219000000094,14.527441769411878
592.9422000000094,33.314059011216955
592.9625000000094,29.73181252362179
592.9828000000094,37.50820657428901
593.0031000000095,47.9584456301561
593.0234000000095,61.74406948169484
593.0437000000095,45.83883786004806
593.0640000000095,28.230450952432907
593.0843000000095,20.584919810043715
593.1046000000096,18.810960806722246
593.1249000000096,15.50499481620949
593.1452000000096,14.477337627401774
593.1655000000096,18.564656278530823
593.1858000000096,18.12142038473226
593.2061000000097,15.30691853993946
593.2264000000097,17.010112192570908
593.2467000000097,14.890324162872382
593.2670000000097,10.169938175929875
593.2873000000097,13.517662240916803
593.3076000000098,20.210916699895982
593.3279000000098,29.020653815119807
593.3482000000098,40.96176046056891
593.3685000000098,12.764000568656618
593.3888000000098,34.76231973754011
593.4091000000099,26.929012633947767
593.4294000000099,25.63458692808731
593.4497000000099,31.946192601222613
593.4700000000099,27.36772601234795
593.4903000000099,26.64129366603994
593.51060000001,27.115255354146576
593.53090000001,23.409408493094638
593.55120000001,29.802209802364995
593.57150000001,27.00180994956699
593.59180000001,35.35679309410879
593.6121000000101,27.486225680394178
593.6324000000101,39.915883789264576
593.6527000000101,28.379122541829712
593.6730000000101,29.117197512188035
593.6933000000101,31.90978470799136
593.7136000000102,15.41199354384803
593.7339000000102,20.560470007398038
593.7542000000102,25.222353149070543
593.7745000000102,17.802592935481748
593.7948000000102,34.414281038251566
593.8151000000103,21.852996993712043
593.8354000000103,23.51301460582119
593.8580000000103,25.53710311062105
593.8814000000103,26.496512323499864
593.9042000000103,25.36225350634661
593.9270000000103,40.268297738112544
593.9498000000102,24.180909087756895
593.9726000000102,49.154769877310535
593.9954000000101,31.389445339830257
594.0182000000101,29.53178467148463
594.0410000000101,37.935291037763655
594.06380000001,28.70045956816018
594.08660000001,28.018842869296005
594.1094000000099,43.32141642114443
594.1322000000099,28.182309924791696
594.1550000000099,59.232701764154804
594.1778000000098,43.74850509589512
594.2006000000098,30.895568543645712
594.2234000000097,50.86572768976314
594.2462000000097,36.277338003634405
594.2690000000097,32.69254095051368
594.2918000000096,27.29489671550688
594.3146000000096,32.334976889656346
594.3374000000096,13.510513820905741
594.3602000000095,19.702439675197034
594.3830000000095,19.65778547741416
594.4058000000094,16.25439061855277
594.4286000000094,21.145473168969836
594.4514000000094,28.097634330079973
594.4742000000093,32.059707322067936
594.4970000000093,24.188277351863217
594.5198000000092,24.042370378452404
594.5426000000092,24.171232636177724
594.5654000000092,25.015647914492202
594.5882000000091,23.6907028110361
594.6110000000091,12.851072074885343
594.633800000009,24.00828653209396
594.656600000009,17.514248272536303
594.679400000009,16.510546153072653
594.7022000000089,13.235746426730575
594.7250000000089,22.15309860360494
594.7478000000089,17.151043249349314
594.7706000000088,17.64699253464818
594.7940000000089,17.064618895155252
594.8190000000088,22.973271176870703
594.8425000000088,22.735614653384246
594.8660000000089,18.708022565958967
594.8895000000089,33.0064890723232
594.9130000000089,32.20070556568002
594.9365000000089,31.20386136030335
594.9600000000089,31.640626354460316
594.9835000000089,16.234508621370765
595.0070000000089,18.212736861095316
595.0305000000089,29.192505681142574
595.054000000009,17.713306911605105
595.077500000009,33.555130308172146
595.101000000009,32.37390481280874
595.124500000009,34.473491029079526
595.148000000009,31.900249307383177
595.171500000009,25.59357752085269
595.195000000009,20.59588278606871
595.218500000009,21.759354067301725
595.242000000009,23.07913689021113
595.2655000000091,26.842317141534952
595.2890000000091,31.17807285244183
595.3125000000091,31.741216524197707
595.3360000000091,27.736313232708852
595.3595000000091,23.66171701286339
595.3830000000091,15.817681516123546
595.4065000000091,18.090041981001203
595.4300000000092,20.1266301200767
595.4535000000092,25.89559826632003
595.4770000000092,27.20561088516837
595.5005000000092,35.29795858711306
595.5240000000092,24.780339044171445
595.5475000000092,35.28504795084896
595.5710000000092,27.27967012608543
595.5945000000092,11.607263770164755
595.6180000000093,30.86912575979806
595.6415000000093,18.06450414420244
595.6650000000093,17.52191163085829
595.6885000000093,22.84230122606984
595.7120000000093,15.888144549738385
595.7370000000093,31.626669511043335
595.7610000000093,38.66287911199747
595.7843000000092,45.46994632085171
595.8076000000092,47.74997594949232
595.8309000000091,34.653736856577986
595.8542000000091,36.07171389672785
595.877500000009,18.66680642871658
595.900800000009,14.403902308840216
595.9241000000089,22.65515753194345
595.9474000000089,10.003329501159394
595.9707000000088,26.504651796685966
595.9940000000088,26.793296601597227
596.0173000000087,24.484712042795767
596.0406000000087,20.419669642320077
596.0639000000086,22.6289826095614
596.0872000000086,24.809225578765137
596.1105000000085,19.3012894633622
596.1338000000085,20.301061458524835
596.1571000000084,22.72562105299664
596.1804000000084,26.921358631712295
596.2037000000083,33.02540686500899
596.2270000000083,32.75280275374315
596.2503000000082,36.242923328500765
596.2736000000082,43.88099698024467
596.2969000000081,42.79198264022456
596.3202000000081,43.396616447396845
596.343500000008,49.79023028200695
596.366800000008,31.326142011409782
596.3901000000079,18.308027080583994
596.4134000000079,17.82087961523505
596.4367000000078,22.00628812323272
596.4600000000078,29.013901917726557
596.4833000000077,44.20547141571662
596.5066000000077,47.462759148291575
596.5299000000076,35.04741226213256
596.5532000000076,38.15673756333123
596.5765000000075,29.41017386630598
596.5998000000075,26.733437426134635
596.6231000000074,16.949136030883775
596.6464000000074,16.226964875351907
596.6697000000073,37.11835897622109
596.6930000000073,36.125511180092126
596.7170000000073,38.68382336752633
596.7405000000073,38.6171780357045
596.7638000000072,32.391473980951
596.7871000000072,30.778823694865196
596.8104000000071,37.526889744303645
596.8337000000071,28.616359168108914
596.857000000007,19.279729693438988
596.880300000007,21.312619826035682
596.9036000000069,26.507379494686152
596.9269000000069,29.2040521760959
596.9502000000068,34.30499812203057
596.9735000000068,31.967870737412493
596.9968000000067,29.451344979175
597.0201000000067,29.805344691705724
597.0434000000066,27.98609432664111
597.0667000000066,25.1368865521194
597.0900000000065,23.651479688489097
597.1133000000065,36.509497202514815
597.1366000000064,40.5637615065816
597.1599000000064,37.16799239552101
