Depth_m,Na
324.77,0.188
324.781,0.07
324.792,0.007
324.924,0.137
324.934,0.327
324.945,0.36
324.956,0.198
325.033,0.003
325.044,0.15
325.055,0.223
325.066,0.134
325.153,0.197
325.164,0.575
325.175,0.885
325.186,0.918
325.197,1.303
325.208,1.965
325.219,2.482
325.23,2.956
325.241,3.855
325.252,4.391
325.263,4.279
325.274,3.604
325.285,2.477
325.296,1.164
325.306,0.045
325.405,0.313
325.416,0.99
325.427,2.099
325.438,3.061
325.449,2.756
325.46,1.84
325.471,1.123
325.482,0.334
325.886,0.263
325.897,1.108
325.908,2.081
325.919,2.936
325.93,3.102
325.941,2.25
325.952,0.989
325.963,0.237
326.04,0.2
326.05,0.539
326.061,0.809
326.072,0.741
326.083,0.442
326.094,0.147
326.138,0.287
326.149,0.588
326.16,0.631
326.171,0.645
326.182,0.666
326.193,0.487
326.204,0.396
326.215,0.461
326.226,0.443
326.236,0.174
326.247,0.1
326.258,0.311
326.269,0.501
326.28,0.398
326.696,0.259
326.707,0.929
326.718,1.298
326.729,1.161
326.74,0.829
326.751,0.19
326.893,0.055
326.904,0.525
326.915,1.03
326.926,1.118
326.937,0.54
326.959,0.017
327.024,0.216
327.035,0.514
327.046,0.674
327.057,0.704
327.068,0.873
327.079,0.575
327.735,0.13
327.746,0.419
327.757,0.628
327.768,0.686
327.779,0.525
327.79,0.196
327.867,0.225
327.878,1.244
327.889,2.238
327.9,2.702
327.91,1.437
327.921,0.177
327.943,0.018
327.954,0.024
328.206,0.559
328.217,0.952
328.228,1.043
328.239,0.962
328.25,0.699
328.261,0.28
328.49,0.153
328.501,0.211
328.512,0.183
328.523,0.07
328.534,0.163
328.545,0.378
328.556,0.31
328.731,0.141
328.742,0.423
328.753,0.59
328.764,0.7
328.775,0.811
328.786,0.799
328.797,0.523
328.808,0.148
328.895,0.102
328.906,0.513
328.917,0.753
328.928,0.87
328.939,1.123
328.95,1.514
328.961,1.589
328.972,1.219
328.983,0.866
328.994,0.752
329.005,0.662
329.015,0.635
329.026,0.401
329.114,0.69
329.125,1.588
329.136,2.574
329.147,3.311
329.158,3.433
329.169,3.515
329.18,3.394
329.19,2.041
329.201,0.41
329.322,0.174
329.333,0.002
329.409,0.059
329.42,0.25
329.431,0.392
329.442,0.477
329.453,0.556
329.464,0.703
329.475,0.823
329.486,0.91
329.497,1.117
329.508,1.357
329.519,1.314
329.53,0.772
329.541,0.178
329.573,0.078
329.584,0.515
329.595,0.953
329.606,1.551
329.617,2.275
329.628,2.409
329.639,2.181
329.65,1.65
329.661,0.93
329.672,0.28
329.683,0.086
329.694,0.176
329.705,0.332
329.716,0.514
329.727,0.457
329.738,0.383
329.749,0.066
329.836,0.097
329.847,0.58
329.858,1.364
329.869,2.274
329.88,3.348
329.891,3.862
329.902,3.61
329.913,2.737
329.924,1.711
329.935,0.986
329.945,0.53
329.956,0.268
329.967,0.065
330.35,0.423
330.361,1.107
330.372,1.464
330.383,1.779
330.394,1.517
330.405,0.758
330.536,0.133
330.547,1.013
330.558,2.038
330.569,2.741
330.58,3.088
330.591,2.89
330.602,2.765
330.613,2.904
330.624,3.017
330.635,3.57
330.646,2.604
330.657,1.033
330.668,0.23
330.788,0.171
330.799,0.424
330.81,0.382
330.821,0.276
330.832,0.315
330.843,0.015
330.864,0.159
330.875,0.465
330.886,0.68
330.897,0.825
330.908,0.633
330.919,0.367
330.93,0.36
330.941,0.187
330.952,0.152
330.963,0.152
331.051,0.176
331.061,0.553
331.072,0.845
331.083,0.955
331.094,0.65
331.105,0.422
331.521,0.622
331.532,1.1
331.543,0.931
331.554,0.454
331.565,0.146
331.937,0.026
331.948,0.372
331.959,0.685
331.969,1.23
331.98,1.268
331.991,0.82
332.002,0.192
332.156,0.479
332.166,0.811
332.177,0.657
332.188,0.355
332.199,0.341
332.21,0.598
332.221,0.99
332.232,1.344
332.243,1.144
332.254,0.429
332.352,0.048
332.363,0.231
332.374,0.259
332.385,0.287
332.396,0.6
332.407,0.794
332.418,0.329
332.582,0.018
332.593,1.187
332.604,2.583
332.615,3.614
332.626,3.668
332.637,3.402
332.648,2.575
332.659,0.58
332.692,0.024
332.703,0.077
332.714,0.041
332.724,0.078
332.735,0.243
332.746,0.249
332.757,0.089
332.932,0.108
332.943,0.204
333.085,0.201
333.096,0.162
333.107,0.156
333.118,0.12
333.687,0.009
333.698,0.111
333.709,0.026
333.906,0.694
333.917,1.564
333.928,2.288
333.939,3.308
333.95,4.079
333.961,2.355
333.972,0.807
333.983,0.454
333.994,0.295
334.005,0.29
334.015,0.368
334.026,0.412
334.037,0.398
334.048,0.303
334.059,0.043
334.169,0.207
334.18,0.496
334.191,0.925
334.201,1.117
334.212,1.022
334.223,1.239
334.234,1.493
334.245,1.451
334.256,1.736
334.267,2.169
334.278,2.165
334.289,2.092
334.3,1.869
334.311,1.203
334.322,0.55
334.333,0.33
334.541,0.094
334.552,0.394
334.562,0.786
334.573,1.456
334.584,2.214
334.595,3.025
334.606,3.548
334.617,3.331
334.628,2.545
334.639,1.702
334.65,0.97
334.661,0.237
334.727,0.265
334.738,1.22
334.748,1.754
334.759,1.948
334.77,1.302
334.781,0.353
334.924,0.183
334.934,0.709
334.945,1.095
334.956,1.139
334.967,0.867
334.978,0.407
335.131,0.326
335.142,0.565
335.153,0.153
335.46,0.043
335.471,0.136
335.591,0.351
335.602,1.788
335.613,3.797
335.624,5.872
335.635,6.698
335.646,7.186
335.657,7.402
335.668,6.81
335.678,4.464
335.744,2.497
335.755,1.011
335.766,0.158
335.886,0.449
335.897,1.097
335.908,1.015
335.919,0.709
335.93,0.654
335.941,0.381
335.952,0.147
335.963,0.208
335.974,0.367
335.985,0.453
335.996,0.317
336.007,0.044
336.149,0.589
336.16,1.482
336.171,2.334
336.182,2.543
336.193,2.073
336.204,1.186
336.368,0.025
336.379,0.54
336.39,1.217
336.401,2.083
336.411,2.913
336.422,3.685
336.433,4.392
336.444,4.927
336.455,4.359
336.466,2.825
336.477,1.305
336.652,0.14
336.893,0.189
336.904,0.407
336.915,0.759
336.926,0.997
336.937,0.873
336.948,0.804
336.959,0.291
336.991,0.113
337.002,0.192
337.013,0.187
337.024,0.114
337.188,0.238
337.199,0.636
337.21,0.711
337.221,0.231
337.56,0.006
337.571,0.36
337.582,0.481
337.593,0.321
337.626,0.311
337.637,0.487
337.878,0.128
337.889,0.352
337.9,0.371
337.91,0.273
338.086,0.024
338.096,0.234
338.107,0.498
338.118,0.496
338.129,0.255
338.14,0.263
338.151,0.13
338.206,0.002
338.25,0.014
338.261,0.526
338.271,1.28
338.282,2.292
338.293,3.658
338.304,4.851
338.315,4.876
338.326,3.126
338.337,0.82
338.567,0.35
338.578,0.67
338.589,0.715
338.6,0.576
338.611,0.089
338.84,0.028
338.851,0.152
338.862,0.12
339.07,0.048
339.081,0.246
339.092,0.341
339.103,0.238
339.114,0.133
339.125,0.095
339.136,0.253
339.147,0.202
339.256,0.476
339.267,1.135
339.278,2.0
339.289,3.281
339.3,4.671
339.311,5.501
339.322,5.589
339.333,4.64
339.344,3.362
339.355,2.119
339.366,1.186
339.376,0.478
339.508,0.26
339.519,0.783
339.53,1.481
339.541,1.935
339.552,2.1
339.562,1.795
339.573,1.251
339.584,0.611
339.595,0.053
339.792,0.075
339.803,0.263
339.814,0.326
339.825,0.271
339.836,0.119
339.847,0.054
340.0,0.396
340.011,0.424
340.022,0.441
340.033,0.248
340.077,0.082
340.088,0.249
340.099,0.298
340.11,0.27
340.121,0.087
340.219,0.093
340.23,0.316
340.241,0.585
340.252,0.831
340.263,1.15
340.274,1.471
340.285,1.831
340.296,1.769
340.306,0.916
340.383,0.34
340.394,1.12
340.405,1.59
340.416,1.878
340.427,1.797
340.438,1.52
340.449,1.031
340.46,0.584
340.471,0.298
340.482,0.202
340.492,0.252
340.503,0.421
340.514,0.225
340.624,0.55
340.635,1.094
340.646,1.467
340.657,1.179
340.668,0.538
340.678,0.046
340.711,0.152
340.722,0.54
340.733,1.52
340.744,2.114
340.755,2.288
340.766,1.58
340.777,0.38
340.886,0.098
340.897,0.344
340.908,0.336
340.919,0.136
340.93,0.269
340.941,0.513
340.952,0.538
340.963,0.41
340.974,0.359
340.985,0.38
340.996,0.417
341.007,0.402
341.018,0.199
341.357,0.207
341.368,0.648
341.379,1.302
341.39,1.996
341.401,2.362
341.412,2.764
341.422,2.483
341.433,1.578
341.444,0.692
341.455,0.016
341.565,0.083
341.576,0.179
341.587,0.125
341.598,0.007
342.145,0.177
342.156,0.15
342.331,0.045
342.342,0.169
342.352,0.32
342.363,0.424
342.374,0.248
342.385,0.086
342.527,0.034
342.538,0.897
342.549,1.695
342.56,1.999
342.571,2.151
342.582,1.829
342.593,1.22
342.604,0.591
342.615,0.078
342.692,0.038
342.703,0.015
342.713,0.162
342.724,0.144
342.779,0.05
342.79,0.151
342.801,0.085
342.834,0.026
342.845,0.329
342.856,0.446
342.867,0.339
342.878,0.095
343.042,0.001
343.053,0.141
343.064,0.177
343.075,0.207
343.085,0.568
343.14,0.946
343.151,0.867
343.162,0.548
343.173,0.206
343.217,0.021
343.228,0.39
343.239,0.958
343.25,1.262
343.26,1.549
343.271,1.81
343.282,1.721
343.293,1.088
343.304,0.887
343.315,0.593
343.326,0.091
343.468,0.545
343.479,1.318
343.49,1.941
343.501,2.176
343.512,1.216
343.523,0.367
343.534,0.103
343.556,0.093
343.567,0.342
343.578,0.507
343.589,0.5
343.6,0.003
343.643,0.042
343.753,0.016
343.764,0.266
343.775,0.59
343.786,0.885
343.797,0.981
343.808,0.671
343.819,0.243
343.862,0.046
343.873,0.033
343.895,0.117
343.906,0.179
343.917,0.058
344.114,0.097
344.125,0.337
344.136,0.499
344.147,0.46
344.158,0.285
344.245,0.098
344.256,0.613
344.267,0.943
344.278,1.383
344.289,1.67
344.3,1.359
344.311,0.643
344.322,0.49
344.333,0.569
344.344,0.633
344.355,0.479
344.366,0.341
344.377,0.216
344.387,0.046
344.486,0.398
344.497,0.783
344.508,0.819
344.519,0.637
344.53,0.613
344.541,0.31
344.552,0.128
344.563,0.394
344.573,0.729
344.584,0.955
344.595,0.943
344.606,0.647
344.617,0.353
344.628,0.287
344.639,0.318
344.65,0.283
344.661,0.044
345.033,0.032
345.044,0.023
345.055,0.011
345.164,0.222
345.175,0.375
345.186,0.265
345.252,0.366
345.263,0.674
345.274,0.618
345.285,0.231
345.339,0.01
345.427,0.444
345.438,1.149
345.449,1.762
345.46,1.796
345.471,1.349
345.482,0.651
345.492,0.191
345.503,0.04
345.514,0.122
345.525,0.203
345.536,0.123
345.733,0.01
345.744,0.028
345.799,0.261
345.81,0.719
345.821,1.219
345.832,1.519
345.843,1.155
345.853,0.824
345.864,0.208
345.897,0.085
345.908,0.322
345.919,0.227
345.963,0.431
345.974,1.069
345.985,1.484
345.996,1.752
346.007,1.681
346.018,0.882
346.029,0.127
346.182,0.222
346.193,0.686
346.204,0.905
346.215,0.801
346.225,0.451
346.236,0.307
346.247,0.209
346.258,0.007
346.444,0.472
346.455,1.384
346.466,2.509
346.477,3.128
346.488,2.748
346.499,1.731
346.51,0.952
346.521,0.427
346.532,0.13
346.696,0.438
346.707,0.91
346.718,1.294
346.729,1.497
346.74,1.93
346.751,2.558
346.762,2.232
346.773,1.38
346.784,0.941
346.794,0.139
346.904,0.107
346.915,0.521
346.926,1.04
346.937,1.388
346.948,1.223
347.002,0.737
347.013,0.433
347.024,0.279
347.177,0.192
347.188,0.678
347.199,0.93
347.21,0.752
347.221,0.397
347.232,0.077
347.243,0.009
347.254,0.117
347.265,0.284
347.276,0.276
347.287,0.112
347.495,0.693
347.506,1.213
347.517,1.561
347.527,1.518
347.538,1.214
347.549,0.846
347.56,0.511
347.571,0.341
347.582,0.101
347.681,0.119
347.692,0.343
347.703,0.448
347.714,0.016
347.921,0.004
347.965,0.006
347.976,0.204
347.987,0.17
347.998,0.116
348.042,0.148
348.053,0.008
348.129,0.258
348.14,0.142
348.337,0.135
348.348,0.505
348.359,0.89
348.37,1.149
348.381,1.116
348.392,0.844
348.403,0.456
348.414,0.328
348.425,0.394
348.436,0.625
348.447,0.797
348.457,1.07
348.468,1.651
348.479,1.143
348.49,0.253
348.654,0.274
348.665,0.735
348.676,1.392
348.687,1.804
348.698,1.718
348.709,1.236
348.72,0.614
348.917,0.073
348.928,0.317
348.939,0.4
348.95,0.213
349.07,0.058
349.081,0.896
349.092,1.758
349.103,2.234
349.114,1.317
349.125,0.213
349.278,0.217
349.289,0.809
349.3,1.294
349.311,1.301
349.322,1.008
349.333,0.764
349.344,0.222
349.486,0.227
349.497,0.433
349.508,0.402
349.519,0.124
349.53,0.038
349.541,0.182
349.552,0.156
349.563,0.253
349.573,0.376
349.584,0.574
349.595,0.939
349.606,0.868
349.748,0.18
349.759,0.837
349.77,1.246
349.781,1.356
349.792,1.051
349.803,0.438
349.814,0.256
349.825,0.085
349.836,0.099
349.847,0.143
349.945,0.2
349.956,0.535
349.967,0.434
349.978,0.27
349.989,0.342
350.0,0.449
350.011,0.746
350.022,1.067
350.033,1.162
350.044,1.128
350.055,0.981
350.066,0.488
350.077,0.007
350.164,0.327
350.175,0.429
350.186,0.186
350.252,0.41
350.263,1.217
350.274,1.823
350.285,1.733
350.296,1.076
350.307,0.478
350.416,0.245
350.427,0.449
350.438,0.37
350.449,0.507
350.46,0.715
350.471,1.013
350.482,1.389
350.492,1.514
350.503,1.115
350.514,0.627
350.525,0.259
350.624,0.098
350.635,0.465
350.646,0.714
350.657,0.751
350.667,0.748
350.678,0.85
350.689,1.03
350.7,1.53
350.711,1.549
350.722,1.268
350.733,1.204
350.744,0.48
350.821,0.095
350.832,0.757
350.843,1.219
350.854,1.217
350.864,0.743
350.875,0.401
350.886,0.411
350.897,0.571
350.908,0.565
350.919,0.263
350.93,0.023
350.941,0.081
350.952,0.182
350.963,0.201
351.083,0.288
351.094,1.014
351.105,1.607
351.116,2.02
351.127,1.893
351.138,1.317
351.149,0.708
351.16,0.348
351.171,0.085
351.247,0.177
351.258,0.356
351.269,0.194
351.324,0.018
351.335,0.082
351.346,0.054
351.357,0.089
351.368,0.29
351.379,0.475
351.39,0.406
351.466,0.828
351.477,2.174
351.488,2.929
351.499,2.457
351.51,1.432
351.521,0.61
351.532,0.106
351.543,0.028
351.554,0.128
351.565,0.342
351.576,0.535
351.587,0.5
352.134,0.279
352.145,0.384
352.156,0.49
352.166,0.528
352.177,0.442
352.188,0.521
352.199,0.702
352.21,1.211
352.221,1.494
352.232,1.082
352.243,0.446
352.374,0.318
352.385,0.929
352.396,1.438
352.407,1.872
352.418,1.622
352.429,0.967
352.44,0.461
352.451,0.165
352.462,0.061
352.615,0.132
352.626,0.124
352.637,0.395
352.648,0.572
352.659,0.775
352.67,1.125
352.681,1.346
352.692,1.767
352.703,2.539
352.713,3.315
352.724,3.512
352.735,3.17
352.746,2.197
352.757,0.85
352.768,0.231
352.779,0.134
352.79,0.192
352.878,0.102
352.889,0.534
352.899,0.607
352.91,0.369
352.921,0.275
352.932,0.097
352.943,0.073
353.326,0.023
353.337,0.262
353.348,0.656
353.359,0.947
353.37,1.022
353.381,0.85
353.392,0.588
353.403,0.297
353.414,0.225
353.425,0.274
353.436,0.413
353.447,0.743
353.458,0.655
353.545,0.4
353.556,0.846
353.567,0.95
353.578,0.669
353.589,0.169
353.731,0.105
353.742,0.246
353.753,0.369
353.764,0.6
353.775,0.694
353.786,0.735
353.797,0.426
353.808,0.039
353.895,0.024
354.005,1.545
354.015,1.427
354.026,1.321
354.037,1.891
354.048,2.26
354.059,1.545
354.07,0.784
354.081,0.38
354.092,0.12
354.103,0.012
354.18,0.177
354.191,0.695
354.201,1.239
354.212,1.718
354.223,2.1
354.234,2.383
354.245,2.654
354.256,3.027
354.267,3.432
354.278,3.391
354.289,2.132
354.3,0.757
354.431,0.409
354.442,0.63
354.453,0.513
354.464,0.518
354.475,0.557
354.486,0.527
354.497,0.462
354.508,0.416
354.519,0.304
354.53,0.077
354.858,0.186
354.869,0.412
354.88,0.427
354.891,0.033
355.044,0.037
355.055,0.317
355.066,0.469
355.077,0.447
355.088,0.173
355.12,0.133
355.131,0.596
355.142,0.824
355.153,0.777
355.164,0.401
355.175,0.031
355.372,0.535
355.383,1.153
355.394,1.31
355.405,1.013
355.416,0.424
355.471,0.063
355.482,0.161
355.492,0.094
355.602,0.116
355.613,0.434
355.624,1.032
355.635,1.608
355.646,1.856
355.657,1.707
355.668,1.245
355.678,0.988
355.689,0.621
355.7,0.138
355.843,0.003
355.854,0.035
355.864,0.165
355.875,0.057
356.291,0.253
356.302,0.459
356.313,0.479
356.324,0.21
356.773,0.172
356.784,0.346
356.794,0.363
356.805,0.29
356.816,0.409
356.827,0.642
356.838,0.833
356.849,0.815
356.86,0.174
356.969,0.328
356.98,0.731
356.991,0.655
357.002,0.377
357.013,0.338
357.024,0.607
357.035,0.765
357.079,0.661
357.09,0.494
357.101,0.161
357.21,0.708
357.221,1.696
357.232,2.356
357.243,2.76
357.254,2.707
357.265,1.807
357.276,0.962
357.287,0.56
357.298,0.449
357.309,0.004
357.385,0.11
357.396,0.36
357.407,0.567
357.418,0.814
357.429,1.092
357.44,0.741
357.451,0.096
357.692,0.217
357.703,0.943
357.714,2.287
357.724,2.917
357.735,3.646
357.746,5.489
357.757,6.796
357.768,6.199
357.779,3.362
357.79,1.084
357.976,0.337
357.987,1.157
357.998,1.878
358.009,1.476
358.02,0.231
358.25,0.154
358.26,0.683
358.271,1.194
358.282,1.806
358.293,1.89
358.304,2.032
358.315,2.434
358.326,2.029
358.337,0.612
358.6,0.264
358.611,0.597
358.622,0.915
358.633,0.772
358.643,0.265
358.819,0.107
358.83,0.296
358.84,0.069
359.037,0.0
359.048,0.157
359.059,0.154
359.07,0.044
359.344,0.023
359.355,0.42
359.366,0.826
359.377,0.925
359.387,0.752
359.398,0.407
359.409,0.004
359.573,0.025
359.584,0.663
359.595,1.503
359.606,2.544
359.617,3.397
359.628,3.359
359.639,2.455
359.65,1.163
359.661,0.223
359.727,0.236
359.738,0.817
359.748,1.483
359.759,2.174
359.77,2.663
359.781,3.114
359.792,3.278
359.803,3.407
359.814,3.63
359.825,3.899
359.836,4.457
359.847,4.751
359.858,2.981
359.869,1.623
359.88,1.125
359.891,0.257
360.306,0.436
360.317,0.916
360.328,1.297
360.339,1.189
360.35,0.837
360.361,0.289
360.514,0.302
360.525,1.341
360.536,3.192
360.547,5.561
360.558,6.411
360.569,1.975
360.58,0.597
360.591,0.679
360.602,0.533
360.613,0.149
360.744,0.313
360.755,0.143
360.832,0.014
360.843,0.388
360.854,0.696
360.864,0.876
360.875,0.891
360.886,0.799
360.897,0.687
360.908,0.48
360.919,0.176
360.996,0.004
361.007,0.289
361.018,0.3
361.247,0.095
361.258,0.339
361.269,0.607
361.28,1.133
361.291,1.77
361.302,2.688
361.313,2.887
361.324,2.158
361.335,0.831
361.499,0.185
361.51,0.731
361.521,1.266
361.532,1.627
361.543,1.641
361.554,1.329
361.565,0.563
361.838,0.083
361.849,0.233
361.959,0.036
361.97,0.372
361.98,0.733
361.991,0.869
362.002,0.889
362.013,0.771
362.024,0.545
362.035,0.537
362.046,0.669
362.057,0.872
362.068,1.069
362.079,1.212
362.09,1.25
362.101,1.223
362.112,1.091
362.123,0.84
362.134,0.465
362.145,0.109
362.166,0.131
362.177,0.474
362.188,1.065
362.199,1.476
362.21,1.204
362.221,0.553
362.232,0.235
362.451,0.065
362.462,0.607
362.473,1.015
362.484,1.133
362.495,1.137
362.506,1.331
362.517,1.932
362.527,2.494
362.538,1.409
362.943,0.056
362.954,0.02
362.987,0.122
362.998,0.184
363.009,0.026
363.184,0.321
363.195,1.004
363.206,1.39
363.217,2.096
363.228,2.249
363.239,1.871
363.25,1.19
363.261,0.483
363.272,0.07
363.337,0.123
363.348,0.42
363.359,0.604
363.37,0.18
363.458,0.415
363.468,1.145
363.479,1.635
363.49,1.557
363.501,1.008
363.512,0.546
363.523,0.436
363.534,0.598
363.545,0.698
363.556,0.54
363.567,0.347
363.578,0.2
363.589,0.058
363.753,0.141
363.764,0.259
363.775,0.253
363.786,0.13
363.873,0.394
363.884,0.865
363.895,1.228
363.906,1.246
363.917,0.92
363.928,0.538
363.939,0.224
364.136,0.217
364.147,0.817
364.158,1.552
364.169,1.426
364.18,0.69
364.191,0.062
364.234,0.289
364.245,0.888
364.256,1.227
364.267,1.251
364.278,1.068
364.289,0.732
364.3,0.361
364.409,0.05
364.42,0.508
364.431,1.376
364.442,2.625
364.453,3.696
364.464,3.627
364.475,3.192
364.486,3.368
364.497,2.647
364.508,1.325
364.519,0.158
364.661,0.38
364.672,0.701
364.683,1.038
364.694,1.147
364.705,1.038
364.716,0.771
364.727,0.339
364.978,0.18
364.989,0.239
365.0,0.004
365.296,0.228
365.306,0.304
365.317,0.009
365.471,0.027
365.482,0.216
365.492,0.441
365.503,0.588
365.514,0.264
365.624,0.394
365.635,1.094
365.646,1.621
365.657,1.781
365.668,1.962
365.678,2.311
365.689,2.822
365.7,3.164
365.711,2.75
365.722,2.227
365.733,1.724
365.744,1.44
365.755,0.541
365.941,0.045
365.952,0.114
366.007,0.312
366.018,0.835
366.029,1.142
366.04,1.217
366.051,1.109
366.061,0.769
366.072,0.36
366.215,0.179
366.226,0.557
366.236,0.358
366.258,0.049
366.269,0.103
366.28,0.088
366.291,0.122
366.302,0.151
366.313,0.25
366.324,0.196
366.335,0.054
366.455,1.022
366.466,1.79
366.477,2.117
366.488,2.191
366.499,2.092
366.51,1.905
366.521,1.753
366.532,1.615
366.543,1.488
366.554,1.214
366.565,0.862
366.576,0.171
366.707,0.071
366.718,0.303
366.729,0.358
366.74,0.21
366.926,0.5
366.937,1.655
366.948,3.959
366.959,6.357
366.97,7.072
366.98,5.819
366.991,3.245
367.002,0.736
367.079,0.469
367.09,0.737
367.101,0.886
367.112,0.792
367.123,0.656
367.134,0.502
367.145,0.335
367.156,0.163
367.309,0.136
367.32,0.401
367.331,0.474
367.341,0.468
367.352,0.328
367.363,0.155
367.374,0.206
367.495,0.152
367.506,0.295
367.517,0.408
367.527,0.535
367.538,0.618
367.549,0.664
367.56,0.442
367.571,0.261
367.582,0.381
367.593,0.377
367.604,0.155
367.79,0.438
367.801,1.099
367.812,1.3
367.823,0.875
367.834,0.281
368.086,0.853
368.096,1.286
368.107,1.125
368.118,0.609
368.184,0.124
368.195,0.362
368.206,0.382
368.217,0.28
368.228,0.102
368.381,0.004
368.392,0.07
368.403,0.059
368.425,0.055
368.436,0.285
368.447,0.458
368.458,0.37
368.469,0.118
368.676,0.014
368.687,0.128
368.698,0.227
368.95,0.129
368.961,0.695
368.972,1.1
368.983,1.166
368.994,1.006
369.004,1.182
369.015,1.451
369.026,1.084
369.037,0.217
369.136,0.452
369.147,1.052
369.158,1.87
369.169,2.616
369.18,3.051
369.19,3.629
369.201,3.929
369.212,2.862
369.223,1.85
369.234,1.351
369.245,0.487
369.409,0.67
369.42,1.477
369.431,2.356
369.442,3.065
369.453,2.686
369.464,1.701
369.475,0.663
369.683,0.229
369.694,0.943
369.705,1.647
369.716,2.629
369.727,3.479
369.738,3.839
369.749,3.526
369.759,2.679
369.77,1.63
369.781,0.441
369.913,0.615
369.924,1.623
369.935,2.625
369.945,2.798
369.956,2.447
370.208,0.094
370.372,0.472
370.383,1.175
370.394,1.84
370.405,2.09
370.416,1.836
370.427,1.198
370.438,0.579
370.449,0.243
370.46,0.119
370.471,0.117
370.635,0.142
370.646,0.659
370.657,1.334
370.668,1.873
370.678,2.472
370.689,2.214
370.7,1.227
370.711,0.93
370.722,0.542
370.864,0.037
370.875,0.579
370.886,1.226
370.897,1.226
370.908,0.819
370.919,0.765
370.93,0.682
370.941,0.479
370.952,0.427
370.963,0.376
370.974,0.18
371.05,0.023
371.061,0.936
371.072,2.199
371.083,3.586
371.094,4.626
371.105,4.461
371.116,3.146
371.127,1.524
371.138,0.609
371.149,0.059
371.193,0.035
371.204,0.034
371.215,0.037
371.379,0.037
371.39,0.039
371.455,0.192
371.466,0.475
371.477,0.415
371.488,0.088
371.499,0.117
371.598,0.645
371.608,1.079
371.619,0.972
371.63,0.817
371.641,0.503
371.652,0.181
371.871,0.037
371.882,0.118
372.09,0.114
372.101,0.351
372.112,0.609
372.123,0.783
372.134,0.916
372.145,0.229
372.385,0.309
372.396,0.722
372.407,1.168
372.418,1.509
372.429,1.432
372.44,0.863
372.451,0.956
372.462,1.343
372.473,1.255
372.484,0.738
373.085,0.307
373.096,0.514
373.107,0.558
373.118,0.467
373.129,0.302
373.14,0.258
373.151,0.365
373.162,0.531
373.173,0.533
373.184,0.34
373.304,0.412
373.315,1.095
373.326,0.957
373.337,0.286
373.654,0.147
373.665,0.405
373.676,0.602
373.687,0.765
373.698,0.896
373.709,1.047
373.72,0.932
373.731,0.724
373.742,0.955
373.753,1.105
373.764,0.807
373.775,0.71
373.786,0.343
373.829,0.128
373.84,0.471
373.851,0.796
373.862,0.832
373.873,0.334
373.906,0.148
373.917,0.305
373.928,0.267
373.939,0.355
373.95,0.258
373.961,0.087
373.994,0.086
374.037,0.237
374.048,0.251
374.059,0.306
374.07,0.177
374.081,0.085
374.092,0.331
374.103,0.856
374.114,1.304
374.125,1.325
374.136,0.628
374.267,0.436
374.278,0.831
374.289,0.973
374.3,0.951
374.311,0.81
374.322,0.883
374.333,1.335
374.344,1.878
374.355,2.516
374.366,2.322
374.376,1.937
374.387,1.542
374.398,1.103
374.409,0.794
374.42,0.703
374.431,0.594
374.442,0.483
374.453,0.394
374.464,0.145
374.475,0.099
374.486,0.526
374.497,1.307
374.508,1.595
374.519,1.303
374.53,0.9
374.541,0.607
374.552,0.607
374.563,0.877
374.573,1.348
374.584,1.712
374.595,1.587
374.606,0.726
374.77,0.214
374.781,0.315
374.792,0.323
374.803,0.319
374.814,0.192
374.847,0.275
374.858,1.128
374.869,1.361
374.88,0.859
374.891,0.076
374.978,0.314
374.989,0.709
375.0,0.933
375.011,1.064
375.022,1.013
375.033,0.745
375.044,0.455
375.055,0.224
375.164,0.251
375.175,0.791
375.186,1.151
375.197,1.391
375.208,1.274
375.219,1.021
375.23,0.798
375.241,0.562
375.252,0.378
375.263,0.183
375.296,0.111
375.339,0.283
375.35,0.271
375.361,0.096
375.449,0.231
375.46,0.676
375.471,0.882
375.481,0.717
375.492,0.508
375.503,0.383
375.514,0.216
375.832,0.018
375.843,0.474
375.854,0.723
375.864,0.451
376.105,0.349
376.116,0.695
376.127,0.588
376.138,0.298
376.149,0.17
376.16,0.337
376.171,0.57
376.182,0.658
376.193,0.815
376.204,1.202
376.215,1.837
376.226,1.29
376.335,0.17
376.346,0.616
376.357,1.189
376.368,0.609
376.477,0.087
376.488,1.085
376.499,1.956
376.51,1.448
376.521,1.209
376.532,1.142
376.543,0.822
376.554,0.666
376.565,0.822
376.576,0.677
376.587,0.451
376.598,0.387
376.609,0.151
376.619,0.009
376.696,0.241
376.707,0.934
376.718,0.916
376.729,0.515
376.74,0.206
376.751,0.231
376.762,0.303
376.773,0.336
376.784,0.072
376.827,0.089
376.838,0.294
376.849,0.243
376.98,0.501
376.991,1.164
377.002,1.49
377.013,1.73
377.024,2.118
377.035,2.285
377.046,2.005
377.057,1.124
377.801,0.024
377.812,0.095
377.823,0.097
377.834,0.169
377.845,0.237
377.856,0.268
377.867,0.226
377.878,0.113
377.987,0.198
377.998,1.508
378.009,2.983
378.02,3.736
378.031,4.248
378.042,4.801
378.053,4.117
378.064,2.036
378.075,1.333
378.085,0.375
378.14,0.018
378.151,0.123
378.26,0.075
378.304,0.054
378.315,0.568
378.326,0.957
378.337,1.01
378.348,0.785
378.359,0.383
378.447,0.93
378.457,3.149
378.468,6.067
378.479,7.715
