Depth_m,Na
36.872,2.981
36.887,3.177
36.901,3.049
36.916,2.791
36.93,2.505
36.945,2.003
36.959,1.256
36.974,0.609
36.988,0.096
37.148,0.233
37.162,1.03
37.177,1.821
37.191,2.537
37.206,2.829
37.22,2.191
37.235,0.905
37.379,0.166
37.394,0.532
37.451,0.423
37.466,0.239
37.48,0.395
37.495,0.923
37.509,1.504
37.524,1.702
37.538,1.485
37.552,1.112
37.567,0.693
37.581,0.364
37.971,0.959
37.985,2.047
38.0,2.85
38.014,2.99
38.028,2.626
38.043,2.669
38.057,1.872
38.072,0.658
38.23,0.456
38.244,1.179
38.259,1.701
38.273,1.794
38.287,1.524
38.302,1.13
38.316,0.578
38.503,0.515
38.517,1.386
38.531,2.563
38.546,3.708
38.56,4.376
38.574,4.14
38.589,3.628
38.603,3.154
38.618,2.825
38.632,2.688
38.646,2.476
38.661,2.059
38.675,1.371
38.689,0.537
38.933,0.249
38.947,0.484
38.961,0.64
38.976,0.607
38.99,0.288
39.076,0.66
39.09,1.364
39.104,1.906
39.119,2.211
39.133,2.208
39.147,1.873
39.162,1.246
39.176,0.619
39.19,0.276
39.205,0.343
39.219,0.031
39.347,0.427
39.362,0.78
39.376,0.929
39.39,0.447
39.404,0.018
39.419,0.062
39.747,0.204
39.761,1.004
39.775,1.746
39.789,2.426
39.804,2.984
39.818,3.025
39.832,2.554
39.846,1.525
39.861,0.566
40.301,0.002
40.316,0.211
40.33,0.236
40.344,0.428
40.358,1.409
40.372,2.941
40.429,3.769
40.443,3.638
40.457,2.137
40.472,0.698
40.557,0.052
40.571,0.986
40.585,0.936
40.599,0.965
40.613,1.14
40.627,1.222
40.642,0.95
40.656,0.297
40.769,0.054
40.783,0.183
40.797,0.006
40.84,0.129
40.854,0.699
40.868,1.78
40.882,5.806
40.896,10.097
40.91,8.605
40.925,4.565
40.939,1.041
41.009,0.014
41.024,0.073
41.038,0.224
41.052,0.689
41.066,1.368
41.08,1.621
41.094,0.929
41.278,0.121
41.292,0.104
41.644,0.157
41.658,0.729
41.672,1.196
41.686,1.329
41.7,1.114
41.714,0.797
41.728,0.638
41.742,0.627
41.757,0.621
41.771,0.371
41.953,0.049
41.967,0.01
42.304,0.049
42.318,0.084
42.332,0.051
42.57,0.197
42.584,0.537
42.598,0.855
42.612,1.618
42.626,1.89
42.64,0.997
42.654,0.011
42.724,0.186
42.738,0.274
42.752,0.041
42.892,0.438
42.906,1.004
42.92,1.255
42.934,1.087
42.948,1.056
42.962,1.141
42.975,0.663
42.989,0.038
43.171,0.301
43.185,0.928
43.199,1.376
43.213,1.701
43.226,1.994
43.24,2.171
43.254,1.972
43.268,1.233
43.282,0.255
43.852,0.005
43.866,0.393
43.88,1.185
43.894,1.902
43.908,3.233
43.922,3.863
43.936,3.831
43.95,2.881
43.963,0.89
44.033,0.11
44.047,0.727
44.061,1.008
44.074,0.666
44.088,0.1
44.116,0.009
44.13,0.277
44.144,0.43
44.158,0.689
44.171,1.017
44.185,0.755
44.199,0.032
44.365,0.331
44.379,0.594
44.393,0.699
44.407,0.675
44.421,0.415
44.434,0.129
44.559,0.213
44.573,0.28
44.587,0.301
44.6,0.214
44.725,0.04
44.738,0.568
44.752,1.141
44.766,1.408
44.78,1.402
44.794,0.849
44.807,0.306
44.945,0.257
44.959,0.579
44.973,0.913
44.987,1.427
45.001,1.99
45.014,1.699
45.028,0.872
45.042,0.161
45.221,0.212
45.235,0.962
45.248,1.844
45.262,2.476
45.276,2.577
45.29,2.129
45.303,1.259
45.317,0.492
45.331,0.187
45.345,0.016
45.468,0.069
45.482,0.724
45.496,1.586
45.51,2.295
45.523,2.267
45.537,1.338
45.551,0.251
45.619,0.429
45.633,0.674
45.647,0.576
45.661,0.135
45.812,0.165
45.825,0.267
45.839,0.17
46.154,0.082
46.168,0.44
46.182,0.974
46.195,1.626
46.209,2.164
46.223,2.346
46.236,2.117
46.25,1.572
46.264,1.108
46.277,1.127
46.291,1.375
46.305,1.586
46.318,1.598
46.332,1.344
46.346,0.915
46.359,0.435
46.373,0.042
47.055,0.473
47.068,1.161
47.082,1.634
47.096,1.81
47.109,1.645
47.123,1.209
47.137,0.988
47.15,1.098
47.164,0.652
47.177,0.164
47.313,0.272
47.327,0.952
47.34,1.492
47.354,1.859
47.368,1.969
47.381,1.824
47.395,1.473
47.408,0.962
47.422,0.358
47.598,0.215
47.612,0.65
47.626,0.724
47.639,0.855
47.653,0.744
47.666,0.345
47.802,0.015
48.045,0.583
48.059,1.333
48.073,2.11
48.086,2.841
48.1,3.365
48.113,3.576
48.127,3.333
48.14,2.75
48.154,2.088
48.167,1.359
48.181,0.522
48.356,0.238
48.37,0.362
48.383,0.334
48.397,0.389
48.41,0.269
48.424,0.093
48.437,0.06
48.518,0.569
48.532,0.584
48.545,0.607
48.559,0.621
48.572,0.574
48.586,0.386
48.599,0.117
48.815,0.237
48.828,0.518
48.842,0.705
48.855,0.526
48.869,0.198
48.949,0.32
48.963,0.087
49.03,0.042
49.043,0.766
49.057,1.71
49.07,2.598
49.084,2.889
49.097,2.206
49.111,1.16
49.124,0.824
49.138,1.235
49.151,1.094
49.164,0.434
49.339,0.966
49.352,2.096
49.366,3.168
49.379,3.883
49.393,4.15
49.406,3.666
49.419,2.758
49.433,1.744
49.446,0.816
49.46,0.329
49.473,0.137
49.634,0.196
49.647,0.42
