Depth_m,nh4
36.916,1.126
36.93,0.822
36.945,0.518
36.959,0.214
37.061,0.113
37.075,0.624
37.09,1.136
37.104,1.343
37.119,1.346
37.133,1.147
37.148,0.745
37.162,0.446
37.177,0.25
37.191,0.155
37.206,0.056
37.292,0.012
37.307,0.312
37.321,0.412
37.336,0.412
37.35,0.31
37.365,0.106
37.379,0.003
37.654,0.053
37.668,0.156
37.682,0.362
37.697,0.466
37.711,0.47
37.726,0.372
37.74,0.274
37.755,0.073
37.971,0.098
37.985,0.095
38.0,0.092
38.129,0.066
38.144,0.167
38.158,0.371
38.172,0.677
38.187,0.779
38.201,0.574
38.215,0.165
38.259,0.064
38.273,0.166
38.287,0.167
38.302,0.27
38.316,0.169
38.33,0.069
38.488,0.074
38.503,0.382
38.517,0.69
38.531,0.896
38.546,1.0
38.56,1.002
38.574,0.901
38.589,0.596
38.603,0.086
39.076,0.053
39.09,0.157
39.104,0.26
39.119,0.262
39.133,0.162
39.19,0.076
39.333,0.186
39.347,0.492
39.362,0.696
39.376,1.003
39.39,1.311
39.404,1.414
39.419,1.415
39.433,1.212
39.447,0.907
39.462,0.5
39.718,0.046
39.732,0.355
39.747,0.46
39.761,0.667
39.775,0.875
39.789,1.083
39.804,1.189
39.818,1.193
39.832,0.993
39.846,0.691
39.861,0.286
40.017,0.103
40.031,0.307
40.046,0.511
40.06,0.818
40.074,1.124
40.088,1.227
40.102,1.432
40.117,1.228
40.131,0.921
40.145,0.409
40.301,0.192
40.316,0.598
40.33,1.005
40.344,1.003
40.358,0.695
40.372,0.285
40.443,0.002
40.457,0.009
40.514,0.121
40.528,0.223
40.542,0.327
40.557,0.43
40.571,0.227
40.712,0.027
40.727,0.129
40.741,0.128
40.755,0.127
40.769,0.022
40.783,0.02
40.826,0.121
40.84,0.632
40.854,1.551
40.868,2.776
40.882,4.102
40.896,4.915
40.91,4.708
40.925,3.274
40.939,1.534
40.953,0.408
40.967,0.099
40.981,0.099
40.995,0.201
41.009,0.304
41.024,0.508
41.038,1.019
41.052,1.63
41.066,2.548
41.08,3.669
41.094,4.994
41.108,6.318
41.122,8.051
41.137,9.886
41.151,11.005
41.165,10.181
41.179,6.699
41.193,2.605
41.207,0.25
41.517,0.033
41.531,0.34
41.545,0.75
41.56,1.058
41.574,1.468
41.588,1.571
41.602,1.366
41.616,1.059
41.63,0.649
41.644,0.341
41.658,0.341
41.672,0.238
41.686,0.237
41.7,0.135
42.15,0.376
42.164,0.787
42.178,1.298
42.192,1.707
42.514,0.086
42.528,0.395
42.542,0.704
42.556,0.91
