Depth_m,nssCa
31.235,0.843
31.25,0.969
31.31,4.664
31.325,3.3
31.34,2.021
31.355,1.55
31.37,1.349
31.385,0.629
31.595,0.142
31.61,0.31
31.625,0.648
31.64,1.246
31.655,1.397
31.67,0.986
31.685,0.756
31.7,0.291
31.715,0.044
31.73,0.046
31.745,0.146
31.76,0.104
31.82,0.262
31.835,0.485
31.85,0.332
31.88,0.227
31.895,0.603
31.91,0.828
31.924,0.986
31.939,0.651
32.014,0.402
32.029,0.42
32.044,0.059
32.059,0.125
32.074,0.338
32.089,0.347
32.104,0.602
32.119,0.898
32.134,0.787
32.149,0.809
32.164,1.699
32.178,1.951
32.193,2.159
32.208,3.412
32.223,2.963
32.238,2.155
32.253,1.539
32.268,1.023
32.283,0.114
32.298,0.017
32.372,0.73
32.387,0.896
32.402,0.954
32.417,1.158
32.432,0.861
32.447,0.986
32.462,0.719
32.477,1.129
32.492,0.916
32.507,0.931
32.522,0.687
32.536,0.726
32.551,0.788
32.566,0.522
32.581,0.365
32.685,0.063
32.7,0.543
32.715,0.442
32.73,0.587
32.745,0.637
32.76,1.166
32.775,1.947
32.789,2.794
32.804,2.508
32.819,1.763
32.834,1.472
32.849,0.626
32.953,0.121
32.968,1.006
32.983,1.99
32.998,1.982
33.013,2.037
33.027,2.028
33.042,1.735
33.057,1.471
33.072,1.332
33.087,1.269
33.102,0.989
33.116,0.187
33.205,0.121
33.22,0.558
33.235,0.461
33.25,0.809
33.265,1.496
33.28,1.469
33.294,1.52
33.309,1.641
33.339,1.85
33.354,1.658
33.369,1.761
33.383,1.986
33.398,1.525
33.413,0.78
33.428,0.128
33.443,0.071
33.487,0.251
33.502,1.166
33.517,1.301
33.532,1.251
33.546,0.527
33.561,0.152
33.576,0.155
33.783,0.153
33.798,0.49
33.813,0.761
33.827,0.542
33.842,0.336
33.857,0.3
33.901,0.102
33.916,0.144
34.226,0.299
34.241,0.377
34.255,0.062
34.521,0.631
34.535,1.11
34.55,0.536
34.726,0.098
34.785,0.612
34.8,0.636
34.814,0.567
34.829,0.168
34.844,0.149
35.196,0.115
35.211,0.005
35.24,0.075
35.255,0.059
35.46,0.039
35.474,0.622
35.489,0.89
35.503,0.921
35.518,0.928
35.533,0.517
35.547,0.161
35.562,0.235
35.796,0.0
36.102,0.082
36.117,0.244
36.131,0.325
36.146,0.48
36.16,0.58
36.175,0.731
36.189,0.896
36.204,0.969
36.219,0.989
36.233,1.168
36.248,1.251
36.262,1.258
36.277,1.384
36.291,1.785
36.306,1.528
36.32,1.238
36.335,1.028
36.35,0.337
36.364,0.148
36.451,0.416
36.466,0.766
36.48,0.554
36.495,0.465
36.51,0.333
36.611,0.233
36.626,0.0
36.698,0.204
36.713,0.743
36.727,0.939
36.742,1.236
36.756,1.395
36.771,1.455
36.785,1.218
36.8,0.755
36.843,0.129
36.974,0.156
36.988,0.045
37.003,0.099
37.017,0.134
37.032,0.279
37.046,0.58
37.061,1.232
37.075,1.204
37.09,1.034
37.104,0.368
37.119,0.427
37.292,0.008
37.307,0.305
37.321,0.404
37.336,0.381
37.35,0.31
37.365,0.52
37.379,0.507
37.394,0.575
37.682,0.039
37.697,0.099
37.812,0.096
37.856,0.066
37.87,0.183
37.884,0.244
37.899,0.055
37.913,0.155
37.928,0.439
37.942,0.586
37.956,0.807
37.971,0.4
38.086,0.172
38.1,0.589
38.115,1.04
38.129,1.004
38.144,0.914
38.158,0.889
38.172,0.949
38.187,0.939
38.201,0.721
38.215,1.401
38.23,1.312
38.244,1.406
38.259,1.341
38.273,0.754
38.287,0.455
38.302,0.194
38.316,0.138
38.33,0.16
38.345,0.021
38.359,0.066
38.374,0.311
38.388,0.489
38.402,0.361
38.417,0.294
38.431,0.573
38.445,1.122
38.46,1.222
38.474,1.601
38.488,1.752
38.503,1.678
38.517,1.353
38.531,1.511
38.546,0.634
38.56,0.263
38.589,0.554
38.603,1.198
38.618,1.694
38.632,1.076
38.646,0.845
38.661,0.542
38.675,0.552
38.689,0.415
38.732,0.088
38.747,0.382
38.761,0.214
38.804,0.075
38.818,0.26
38.876,0.0
39.019,0.253
39.033,0.63
39.047,0.217
39.104,0.142
39.119,0.675
39.133,0.571
39.247,0.111
39.262,0.208
39.276,0.292
39.305,0.347
39.319,0.104
39.333,0.048
39.647,0.061
39.676,0.687
39.69,0.322
39.704,0.374
39.718,0.605
39.732,0.737
39.747,0.472
39.761,0.424
39.775,0.238
39.789,0.222
39.861,0.032
39.875,0.14
39.889,0.298
39.918,0.073
39.946,0.01
40.102,0.044
40.173,0.306
40.23,0.043
40.244,0.324
40.259,0.111
40.273,0.408
40.287,0.771
40.301,0.709
40.316,0.499
40.33,0.358
40.344,0.296
40.358,0.527
40.372,0.347
40.457,0.382
40.472,0.966
40.486,1.149
40.5,0.726
40.514,0.435
40.528,0.266
40.542,0.238
40.557,0.427
40.571,0.059
40.67,0.119
40.684,0.304
40.698,0.908
40.712,1.329
40.727,1.466
40.741,0.947
40.755,0.528
40.769,0.519
40.783,0.803
40.797,1.005
40.811,1.069
40.826,1.114
40.896,0.245
40.939,0.541
40.953,1.828
40.967,1.369
40.981,0.755
40.995,0.336
41.009,0.281
41.024,0.604
41.038,0.789
41.052,0.87
41.066,1.027
41.08,0.564
41.094,0.701
41.108,0.812
41.122,1.283
41.137,1.739
41.151,1.65
41.165,1.177
41.179,0.928
41.193,0.827
41.207,1.16
41.221,1.1
41.235,0.645
41.249,0.666
41.264,0.234
41.574,0.096
41.588,0.169
41.602,0.298
41.616,0.498
41.63,0.154
41.771,0.309
41.785,0.472
41.799,0.238
