Depth(m),Cond(uS)
254.495,1.036
254.505,1.085
254.515,1.1
254.525,1.056
254.535,0.946
254.545,0.84
254.555,0.799
254.565,0.756
254.575,0.692
254.585,0.649
254.595,0.642
254.605,0.674
254.615,0.73
254.625,0.786
254.635,0.85
254.645,0.913
254.655,0.962
254.665,1.02
254.675,1.079
254.685,1.12
254.695,1.161
254.705,1.214
254.715,1.268
254.725,1.298
254.735,1.293
254.745,1.289
254.755,1.293
254.765,1.276
254.775,1.227
254.785,1.172
254.795,1.097
254.805,1.017
254.815,0.986
254.825,1.02
254.835,1.071
254.845,1.097
254.855,1.101
254.865,1.073
254.875,1.012
254.885,0.933
254.895,0.856
254.905,0.818
254.915,0.828
254.925,0.883
254.935,0.964
254.945,1.039
254.955,1.094
254.965,1.108
254.975,1.075
254.985,1.011
254.995,0.912
255.005,0.819
255.015,0.769
255.025,0.747
255.035,0.747
255.045,0.768
255.055,0.81
255.065,0.838
255.075,0.839
255.085,0.855
255.095,0.881
255.105,0.874
255.115,0.868
255.125,0.9
255.135,0.965
255.145,1.024
255.155,1.063
255.165,1.056
255.175,1.036
255.185,1.028
255.195,1.055
255.205,1.088
255.215,1.107
255.225,1.102
255.235,1.043
255.245,0.96
255.255,0.889
255.265,0.865
255.275,0.901
255.285,0.972
255.295,1.075
255.305,1.185
255.315,1.268
255.325,1.314
255.335,1.331
255.345,1.33
255.355,1.323
255.365,1.309
255.375,1.284
255.385,1.241
255.395,1.181
255.405,1.121
255.415,1.025
255.425,0.924
255.435,0.871
255.445,0.872
255.455,0.88
255.465,0.861
255.475,0.814
255.485,0.787
255.495,0.782
255.505,0.778
255.515,0.771
255.525,0.741
255.535,0.706
255.545,0.695
255.555,0.718
255.565,0.753
255.575,0.787
255.585,0.825
255.595,0.867
255.605,0.913
255.615,0.956
255.625,0.982
255.635,0.975
255.645,0.944
255.655,0.909
255.665,0.874
255.675,0.857
255.685,0.858
255.695,0.859
255.705,0.848
255.715,0.84
255.725,0.845
255.735,0.852
255.745,0.867
255.755,0.908
255.765,0.966
255.775,1.003
255.785,1.007
255.795,0.998
255.805,0.987
255.815,0.972
255.825,0.957
255.835,0.945
255.845,0.946
255.855,0.97
255.865,1.011
255.875,1.042
255.885,1.035
255.895,0.988
255.905,0.907
255.915,0.827
255.925,0.796
255.935,0.839
255.945,0.932
255.955,1.003
255.965,1.005
255.975,0.927
255.985,0.834
255.995,0.78
256.005,0.764
256.015,0.763
256.025,0.761
256.035,0.764
256.045,0.811
256.055,0.877
256.065,0.92
256.075,0.942
256.085,0.951
256.095,0.94
256.105,0.909
256.115,0.85
256.125,0.778
256.135,0.706
256.145,0.651
256.155,0.627
256.165,0.626
256.175,0.642
256.185,0.673
256.195,0.705
256.205,0.737
256.215,0.762
256.225,0.77
256.235,0.786
256.245,0.822
256.255,0.86
256.265,0.892
256.275,0.925
256.285,0.963
256.295,0.993
256.305,0.981
256.315,0.947
256.325,0.947
256.335,0.996
256.345,1.056
256.355,1.114
256.365,1.154
256.375,1.161
256.385,1.131
256.395,1.067
256.405,1.041
256.415,1.057
256.425,1.056
256.435,1.013
256.445,0.933
256.455,0.843
256.465,0.784
256.475,0.761
256.485,0.769
256.495,0.813
256.505,0.858
256.515,0.85
256.525,0.8
256.535,0.765
256.545,0.756
256.555,0.777
256.565,0.826
256.575,0.874
256.585,0.902
256.595,0.903
256.605,0.883
256.615,0.849
256.625,0.824
256.635,0.838
256.645,0.892
256.655,0.944
256.665,0.951
256.675,0.918
256.685,0.873
256.695,0.839
256.705,0.81
256.715,0.792
256.725,0.782
256.735,0.777
256.745,0.783
256.755,0.796
256.765,0.805
256.775,0.816
256.785,0.833
256.795,0.842
256.805,0.846
256.815,0.866
256.825,0.918
256.835,1.001
256.845,1.086
256.855,1.126
256.865,1.112
256.875,1.096
256.885,1.088
256.895,1.072
256.905,1.036
256.915,0.99
256.925,0.962
256.935,0.944
256.945,0.899
256.955,0.852
256.965,0.845
256.975,0.874
256.985,0.917
256.995,0.928
257.005,0.898
257.015,0.866
257.025,0.852
257.035,0.848
257.045,0.848
257.055,0.859
257.065,0.897
257.075,0.949
257.085,0.992
257.095,1.011
257.105,1.012
257.115,1.001
257.125,0.986
257.135,0.96
257.145,0.928
257.155,0.888
257.165,0.835
257.175,0.799
257.185,0.79
257.195,0.788
257.205,0.788
257.215,0.78
257.225,0.756
257.235,0.716
257.245,0.689
257.255,0.714
257.265,0.777
257.275,0.837
257.285,0.859
257.295,0.828
257.305,0.782
257.315,0.773
257.325,0.804
257.335,0.834
257.345,0.847
257.355,0.85
257.365,0.843
257.375,0.846
257.385,0.884
257.395,0.955
257.405,1.014
257.415,1.006
257.425,0.947
257.435,0.89
257.445,0.846
257.455,0.813
257.465,0.793
257.475,0.754
257.485,0.724
257.495,0.744
257.505,0.797
257.515,0.849
257.525,0.878
257.535,0.866
257.545,0.842
257.555,0.822
257.565,0.808
257.575,0.798
257.585,0.788
257.595,0.787
257.605,0.818
257.615,0.873
257.625,0.897
257.635,0.855
257.645,0.78
257.655,0.704
257.665,0.659
257.675,0.635
257.685,0.624
257.695,0.622
257.705,0.632
257.715,0.657
257.725,0.682
257.735,0.709
257.745,0.739
257.755,0.793
257.765,0.859
257.775,0.933
257.785,0.982
257.795,0.994
257.805,0.974
257.815,0.939
257.825,0.899
257.835,0.868
257.845,0.864
257.855,0.898
257.865,0.965
257.875,1.054
257.885,1.11
257.895,1.101
257.905,1.072
257.915,1.058
257.925,1.082
257.935,1.12
257.945,1.112
257.955,1.031
257.965,0.896
257.975,0.847
258.025,0.941
258.035,0.965
258.045,1.024
258.055,1.072
258.065,1.085
258.075,1.072
258.085,1.047
258.095,1.018
258.105,0.992
258.115,0.952
258.125,0.897
258.135,0.856
258.145,0.845
258.155,0.848
258.165,0.859
258.175,0.873
258.185,0.869
258.195,0.854
258.205,0.837
258.215,0.807
258.225,0.763
258.235,0.709
258.245,0.672
258.255,0.663
258.265,0.673
258.275,0.69
258.285,0.715
258.295,0.752
258.305,0.796
258.315,0.822
258.325,0.839
258.335,0.875
258.345,0.921
258.355,0.947
258.365,0.947
258.375,0.924
258.385,0.868
258.395,0.796
258.405,0.77
258.415,0.777
258.425,0.8
258.435,0.832
258.445,0.846
258.455,0.826
258.465,0.789
258.475,0.757
258.485,0.734
258.495,0.737
258.505,0.783
258.515,0.858
258.525,0.943
258.535,1.018
258.545,1.074
258.555,1.113
258.565,1.141
258.575,1.167
258.585,1.182
258.595,1.175
258.605,1.151
258.615,1.111
258.625,1.06
258.635,1.012
258.645,0.973
258.655,0.958
258.665,0.977
258.675,1.002
258.685,0.998
258.695,1.004
258.705,1.035
258.715,1.043
258.725,1.017
258.735,0.96
258.745,0.885
258.755,0.828
258.765,0.801
258.775,0.782
258.785,0.765
258.795,0.765
258.805,0.793
258.815,0.854
258.825,0.95
258.835,1.062
258.845,1.151
258.855,1.164
258.865,1.114
258.875,1.076
258.885,1.078
258.895,1.127
258.905,1.236
258.915,1.384
258.925,1.498
258.935,1.577
258.945,1.645
258.955,1.628
258.965,1.488
258.975,1.281
258.985,1.109
258.995,1.004
259.005,0.944
259.015,0.924
259.025,0.941
259.035,0.989
259.045,1.046
259.055,1.117
259.065,1.188
259.075,1.231
259.085,1.242
259.095,1.242
259.105,1.243
259.115,1.261
259.125,1.293
259.135,1.34
259.145,1.379
259.155,1.352
259.165,1.243
259.175,1.131
259.185,1.108
259.195,1.162
259.205,1.212
259.215,1.183
259.225,1.106
259.235,1.065
259.245,1.055
259.255,1.029
259.265,0.983
259.275,0.941
259.285,0.91
259.295,0.872
259.305,0.838
259.315,0.814
259.325,0.793
259.335,0.785
259.345,0.798
259.355,0.839
259.365,0.908
259.375,0.968
259.385,0.992
259.395,0.996
259.405,0.993
259.415,0.974
259.425,0.941
259.435,0.909
259.445,0.926
259.455,0.991
259.465,1.039
259.475,1.027
259.485,0.961
259.495,0.875
259.505,0.817
259.515,0.811
259.525,0.841
259.535,0.877
259.545,0.921
259.555,0.959
259.565,0.961
259.575,0.934
259.585,0.902
259.595,0.89
259.605,0.901
259.615,0.929
259.625,0.936
259.635,0.903
259.645,0.858
259.655,0.798
259.665,0.766
259.675,0.775
259.685,0.805
259.695,0.836
259.705,0.873
259.715,0.93
259.725,0.998
259.735,1.034
259.745,1.015
259.755,0.956
259.765,0.92
259.775,0.912
259.785,0.908
259.795,0.915
259.805,0.933
259.815,0.952
259.825,0.958
259.835,0.96
259.845,0.971
259.855,0.982
259.865,0.98
259.875,0.975
259.885,0.969
259.895,0.959
259.905,0.941
259.915,0.914
259.925,0.876
259.935,0.831
259.945,0.795
259.955,0.801
259.965,0.868
259.975,0.925
260.025,1.118
260.035,1.167
260.045,1.143
260.055,1.015
260.065,0.899
260.075,0.838
260.085,0.802
260.095,0.775
260.105,0.734
260.115,0.647
260.125,0.579
260.135,0.583
260.145,0.631
260.155,0.702
260.165,0.767
260.175,0.838
260.185,0.909
260.195,0.967
260.205,0.998
260.215,1.001
260.225,0.997
260.235,0.985
260.245,0.962
260.255,0.929
260.265,0.894
260.275,0.866
260.285,0.863
260.295,0.871
260.305,0.862
260.315,0.831
260.325,0.783
260.335,0.718
260.345,0.662
260.355,0.654
260.365,0.707
260.375,0.793
260.385,0.871
260.395,0.95
260.405,1.047
260.415,1.14
260.425,1.173
260.435,1.167
260.445,1.143
260.455,1.098
260.465,1.044
260.475,1.003
260.485,0.979
260.495,0.938
260.505,0.886
260.515,0.855
260.525,0.857
260.535,0.885
260.545,0.918
260.555,0.913
260.565,0.879
260.575,0.868
260.585,0.894
260.595,0.948
260.605,0.979
260.615,0.968
260.625,0.947
260.635,0.943
260.645,0.952
260.655,0.966
260.665,0.968
260.675,0.963
260.685,0.952
260.695,0.934
260.705,0.914
260.715,0.889
260.725,0.859
260.735,0.851
260.745,0.871
260.755,0.906
260.765,0.917
260.775,0.889
260.785,0.846
260.795,0.79
260.805,0.72
260.815,0.663
260.825,0.628
260.835,0.602
260.845,0.59
260.855,0.597
260.865,0.615
260.875,0.634
260.885,0.655
260.895,0.689
260.905,0.739
260.915,0.808
260.925,0.903
260.935,1.024
260.945,1.153
260.955,1.223
260.965,1.232
260.975,1.222
260.985,1.202
260.995,1.172
261.005,1.135
261.015,1.087
261.025,1.032
261.035,0.995
261.045,0.978
261.055,0.959
261.065,0.931
261.075,0.91
261.085,0.917
261.095,0.958
261.105,1.022
261.115,1.099
261.125,1.193
261.135,1.308
261.145,1.441
261.155,1.604
261.165,1.745
261.175,1.742
261.185,1.573
261.195,1.408
261.205,1.38
261.215,1.413
261.225,1.423
261.235,1.366
261.245,1.214
261.255,1.018
261.265,0.845
261.275,0.742
261.285,0.725
261.295,0.763
261.305,0.846
261.315,0.94
261.325,0.999
261.335,1.013
261.345,0.986
261.355,0.925
261.365,0.87
261.375,0.862
261.385,0.9
261.395,0.949
261.405,0.991
261.415,1.022
261.425,1.054
261.435,1.08
261.445,1.073
261.455,1.005
261.465,0.867
261.475,0.727
261.485,0.654
261.495,0.625
261.505,0.617
261.515,0.631
261.525,0.672
261.535,0.742
261.545,0.823
261.555,0.878
261.565,0.867
261.575,0.833
261.585,0.818
261.595,0.812
261.605,0.795
261.615,0.764
261.625,0.727
261.635,0.716
261.645,0.759
261.655,0.83
261.665,0.899
261.675,0.965
261.685,1.019
261.695,1.043
261.705,1.038
261.715,1.016
261.725,0.995
261.735,0.97
261.745,0.943
261.755,0.941
261.765,0.957
261.775,0.975
261.785,0.986
261.795,1.0
261.805,1.028
261.815,1.068
261.825,1.103
261.835,1.107
261.845,1.04
261.855,0.924
261.865,0.857
261.875,0.869
261.885,0.921
261.895,0.989
261.905,1.058
261.915,1.111
261.925,1.127
261.935,1.103
261.945,1.047
261.955,0.972
261.965,0.901
261.975,0.853
261.985,0.826
261.995,0.824
262.005,0.849
262.015,0.905
262.025,0.999
262.035,1.108
262.045,1.19
262.055,1.226
262.065,1.236
262.075,1.223
262.085,1.161
262.095,1.074
262.105,0.986
262.115,0.938
262.125,0.946
262.135,0.987
262.145,1.035
262.155,1.073
262.165,1.098
262.175,1.11
262.185,1.106
262.195,1.095
262.205,1.087
262.215,1.08
262.225,1.061
262.235,1.014
262.245,0.947
262.255,0.887
262.265,0.866
262.275,0.882
262.285,0.918
262.295,0.943
262.305,0.951
262.315,0.948
262.325,0.929
262.335,0.915
262.345,0.913
262.355,0.924
262.365,0.954
262.375,1.014
262.385,1.09
262.395,1.145
262.405,1.159
262.415,1.144
262.425,1.133
262.435,1.14
262.445,1.163
262.455,1.168
262.465,1.106
262.475,1.013
262.485,0.969
262.495,0.967
262.505,0.97
262.515,0.962
262.525,0.922
262.535,0.867
262.545,0.836
262.555,0.838
262.565,0.85
262.575,0.842
262.585,0.809
262.595,0.801
262.605,0.834
262.615,0.866
262.625,0.879
262.635,0.878
262.645,0.872
262.655,0.859
262.665,0.841
262.675,0.834
262.685,0.841
262.695,0.844
262.705,0.834
262.715,0.808
262.725,0.787
262.735,0.771
262.745,0.758
262.755,0.746
262.765,0.731
262.775,0.734
262.785,0.768
262.795,0.814
262.805,0.836
262.815,0.837
262.825,0.838
262.835,0.843
262.845,0.842
262.855,0.833
262.865,0.817
262.875,0.815
262.885,0.842
262.895,0.892
262.905,0.949
262.915,1.0
262.925,1.03
262.935,1.016
262.945,0.989
262.955,0.987
262.965,0.99
262.975,0.991
262.985,1.001
262.995,1.029
263.005,1.067
263.015,1.055
263.025,0.958
263.035,0.864
263.045,0.819
263.055,0.79
263.065,0.8
263.075,0.822
263.085,0.822
263.095,0.835
263.105,0.925
263.115,1.049
263.125,1.142
263.135,1.198
263.145,1.196
263.155,1.184
263.165,1.192
263.175,1.225
263.185,1.265
263.195,1.326
263.205,1.394
263.215,1.415
263.225,1.367
263.235,1.283
263.245,1.195
263.255,1.101
263.265,0.997
263.275,0.89
263.285,0.788
263.295,0.738
263.305,0.735
263.315,0.773
263.325,0.837
263.335,0.898
263.345,0.969
263.355,1.056
263.365,1.133
263.375,1.196
263.385,1.231
263.395,1.225
263.405,1.192
263.415,1.15
263.425,1.101
263.435,1.058
263.445,1.01
263.455,0.93
263.465,0.842
263.475,0.792
263.485,0.766
263.495,0.747
263.505,0.724
263.515,0.712
263.525,0.729
263.535,0.749
263.545,0.733
263.555,0.709
263.565,0.703
263.575,0.712
263.585,0.736
263.595,0.777
263.605,0.836
263.615,0.906
263.625,0.975
263.635,1.04
263.645,1.077
263.655,1.079
263.665,1.059
263.675,1.038
263.685,1.021
263.695,1.008
263.705,1.002
263.715,1.004
263.725,1.002
263.735,0.977
263.745,0.942
263.755,0.933
263.765,0.937
263.775,0.938
263.785,0.929
263.795,0.901
263.805,0.869
263.815,0.855
263.825,0.847
263.835,0.82
263.845,0.801
263.855,0.808
263.865,0.834
263.875,0.868
263.885,0.909
263.895,0.954
263.905,0.989
263.915,0.999
263.925,0.98
263.935,0.943
263.945,0.899
263.955,0.859
263.965,0.835
263.975,0.819
264.025,0.741
264.035,0.758
264.045,0.809
264.055,0.884
264.065,0.934
264.075,0.933
264.085,0.9
264.095,0.882
264.105,0.889
264.115,0.876
264.125,0.865
264.135,0.993
264.145,1.211
264.155,1.351
264.165,1.527
264.175,1.759
264.185,1.941
264.195,1.943
264.205,1.765
264.215,1.457
264.225,1.199
264.235,1.094
264.245,1.095
264.255,1.128
264.265,1.131
264.275,1.076
264.285,0.981
264.295,0.903
264.305,0.856
264.315,0.85
264.325,0.872
264.335,0.896
264.345,0.9
264.355,0.895
264.365,0.877
264.375,0.859
264.385,0.855
264.395,0.876
264.405,0.922
264.415,0.974
264.425,1.017
264.435,1.043
264.445,1.057
264.455,1.058
264.465,1.049
264.475,1.037
264.485,1.019
264.495,0.991
264.505,0.947
264.515,0.893
264.525,0.842
264.535,0.789
264.545,0.749
264.555,0.735
264.565,0.72
264.575,0.688
264.585,0.649
264.595,0.62
264.605,0.613
264.615,0.623
264.625,0.653
264.635,0.702
264.645,0.768
264.655,0.835
264.665,0.884
264.675,0.906
264.685,0.909
264.695,0.914
264.705,0.938
264.715,0.989
264.725,1.056
264.735,1.118
264.745,1.153
264.755,1.134
264.765,1.052
264.775,0.927
264.785,0.84
264.795,0.841
264.805,0.901
264.815,0.956
264.825,0.969
264.835,0.966
264.845,0.992
264.855,1.046
264.865,1.085
264.875,1.091
264.885,1.058
264.895,1.003
264.905,0.947
264.915,0.888
264.925,0.837
264.935,0.804
264.945,0.786
264.955,0.773
264.965,0.755
264.975,0.737
264.985,0.732
264.995,0.741
265.005,0.755
265.015,0.788
265.025,0.865
265.035,0.966
265.045,1.048
265.055,1.104
265.065,1.132
265.075,1.139
265.085,1.132
265.095,1.105
265.105,1.065
265.115,1.025
265.125,0.997
265.135,0.994
265.145,1.012
265.155,1.042
265.165,1.069
265.175,1.079
265.185,1.041
265.195,0.941
265.205,0.817
265.215,0.712
265.225,0.652
265.235,0.635
265.245,0.64
265.255,0.646
265.265,0.641
265.275,0.629
265.285,0.62
265.295,0.614
265.305,0.612
265.315,0.622
265.325,0.66
265.335,0.727
265.345,0.795
265.355,0.849
265.365,0.873
265.375,0.867
265.385,0.847
265.395,0.839
265.405,0.852
265.415,0.883
265.425,0.923
265.435,0.969
265.445,1.025
265.455,1.074
265.465,1.109
265.475,1.119
265.485,1.102
265.495,1.09
265.505,1.126
265.515,1.203
265.525,1.267
265.535,1.269
265.545,1.207
265.555,1.115
265.565,1.033
265.575,0.989
265.585,0.978
265.595,0.972
265.605,0.975
265.615,0.996
265.625,1.025
265.635,1.044
265.645,1.054
265.655,1.069
265.665,1.071
265.675,1.043
265.685,0.991
265.695,0.933
265.705,0.877
265.715,0.822
265.725,0.761
265.735,0.713
265.745,0.698
265.755,0.707
265.765,0.734
265.775,0.762
265.785,0.784
265.795,0.798
265.805,0.806
265.815,0.819
265.825,0.852
265.835,0.918
265.845,1.022
265.855,1.141
265.865,1.244
265.875,1.279
265.885,1.239
265.895,1.134
265.905,0.998
265.915,0.888
265.925,0.846
265.935,0.859
265.945,0.882
265.955,0.874
265.965,0.84
265.975,0.826
265.985,0.831
265.995,0.837
266.005,0.841
266.015,0.848
266.025,0.858
266.035,0.872
266.045,0.888
266.055,0.908
266.065,0.938
266.075,0.978
266.085,1.014
266.095,1.016
266.105,0.987
266.115,0.939
266.125,0.885
266.135,0.829
266.145,0.79
266.155,0.786
266.165,0.799
266.175,0.822
266.185,0.851
266.195,0.886
266.205,0.919
266.215,0.96
266.225,1.005
266.235,1.038
266.245,1.041
266.255,1.031
266.265,1.027
266.275,1.016
266.285,0.982
266.295,0.953
266.305,0.959
266.315,0.995
266.325,1.02
266.335,1.015
266.345,0.998
266.355,1.01
266.365,1.036
266.375,1.02
266.385,0.947
266.395,0.865
266.405,0.783
266.415,0.727
266.425,0.707
266.435,0.706
266.445,0.711
266.455,0.723
266.465,0.747
266.475,0.785
266.485,0.826
266.495,0.866
266.505,0.903
266.515,0.928
266.525,0.938
266.535,0.923
266.545,0.902
266.555,0.89
266.565,0.88
266.575,0.868
266.585,0.856
266.595,0.844
266.605,0.828
266.615,0.789
266.625,0.737
266.635,0.7
266.645,0.689
266.655,0.692
266.665,0.693
266.675,0.699
266.685,0.729
266.695,0.778
266.705,0.834
266.715,0.897
266.725,0.98
266.735,1.082
266.745,1.16
266.755,1.204
266.765,1.205
266.775,1.192
266.785,1.187
266.795,1.188
266.805,1.191
266.815,1.201
266.825,1.215
266.835,1.233
266.845,1.264
266.855,1.313
266.865,1.38
266.875,1.439
266.885,1.452
266.895,1.416
266.905,1.351
266.915,1.281
266.925,1.198
266.935,1.11
266.945,1.033
266.955,0.979
266.965,0.962
266.975,0.976
266.985,1.051
266.995,1.16
267.005,1.216
267.015,1.155
267.025,1.037
267.035,0.986
267.045,1.008
267.055,1.064
267.065,1.104
267.075,1.122
267.085,1.114
267.095,1.071
267.105,1.032
267.115,1.04
267.125,1.092
267.135,1.197
267.145,1.315
267.155,1.402
267.165,1.432
267.175,1.363
267.185,1.194
267.195,1.011
267.205,0.869
267.215,0.798
267.225,0.787
267.235,0.789
267.245,0.779
267.255,0.736
267.265,0.685
267.275,0.674
267.285,0.689
267.295,0.721
267.305,0.76
267.315,0.794
267.325,0.82
267.335,0.856
267.345,0.901
267.355,0.944
267.365,0.977
267.375,0.989
267.385,0.984
267.395,0.974
267.405,0.972
267.415,0.973
267.425,0.981
267.435,0.992
267.445,1.002
267.455,0.991
267.465,0.954
267.475,0.926
267.485,0.929
267.495,0.949
267.505,0.966
267.515,0.965
267.525,0.953
267.535,0.934
267.545,0.892
267.555,0.847
267.565,0.833
267.575,0.854
267.585,0.919
267.595,0.986
267.605,1.022
267.615,1.034
267.625,1.027
267.635,0.993
267.645,0.948
267.655,0.898
267.665,0.854
267.675,0.836
267.685,0.841
267.695,0.856
267.705,0.877
267.715,0.891
267.725,0.889
267.735,0.873
267.745,0.844
267.755,0.824
267.765,0.82
267.775,0.829
267.785,0.844
267.795,0.845
267.805,0.823
267.815,0.783
267.825,0.752
267.835,0.754
267.845,0.791
267.855,0.842
267.865,0.913
267.875,0.981
267.885,1.016
267.895,1.013
267.905,0.981
267.915,0.938
267.925,0.914
267.935,0.904
267.945,0.895
267.955,0.869
267.965,0.824
267.975,0.779
267.985,0.743
267.995,0.725
268.005,0.724
268.015,0.744
268.025,0.781
268.035,0.829
268.045,0.865
268.055,0.891
268.065,0.914
268.075,0.928
268.085,0.944
268.095,0.977
268.105,1.01
268.115,0.992
268.125,0.917
268.135,0.856
268.145,0.833
268.155,0.822
268.165,0.79
268.175,0.766
268.185,0.786
268.195,0.851
268.205,0.948
268.215,1.046
268.225,1.128
268.235,1.202
268.245,1.255
268.255,1.264
268.265,1.244
268.275,1.205
268.285,1.129
268.295,1.031
268.305,0.95
268.315,0.898
268.325,0.886
268.335,0.892
268.345,0.899
268.355,0.908
268.365,0.917
268.375,0.902
268.385,0.842
268.395,0.775
268.405,0.72
268.415,0.685
268.425,0.674
268.435,0.676
268.445,0.69
268.455,0.713
268.465,0.738
268.475,0.765
268.485,0.792
268.495,0.805
268.505,0.808
268.515,0.819
268.525,0.849
268.535,0.891
268.545,0.95
268.555,1.02
268.565,1.067
268.575,1.059
268.585,0.99
268.595,0.912
268.605,0.891
268.615,0.905
268.625,0.926
268.635,0.944
268.645,0.959
268.655,0.971
268.665,0.986
268.675,1.004
268.685,1.024
268.695,1.045
268.705,1.061
268.715,1.074
268.725,1.079
268.735,1.077
268.745,1.066
268.755,1.046
268.765,1.014
268.775,0.971
268.785,0.924
268.795,0.862
268.805,0.803
268.815,0.757
268.825,0.725
268.835,0.71
268.845,0.718
268.855,0.755
268.865,0.811
268.875,0.884
268.885,0.965
268.895,1.046
268.905,1.12
268.915,1.181
268.925,1.22
268.935,1.244
268.945,1.229
268.955,1.158
268.965,1.051
268.975,0.964
268.985,0.963
268.995,1.007
269.005,1.048
269.015,1.066
269.025,1.061
269.035,1.043
269.045,1.018
269.055,1.005
269.065,1.007
269.075,1.048
269.085,1.126
269.095,1.239
269.105,1.323
269.115,1.343
269.125,1.308
269.135,1.234
269.145,1.114
269.155,0.998
269.165,0.918
269.175,0.838
269.185,0.767
269.195,0.74
269.205,0.757
269.215,0.795
269.225,0.822
269.235,0.84
269.245,0.848
269.255,0.864
269.265,0.897
269.275,0.93
269.285,0.965
269.295,0.994
269.305,1.008
269.315,1.025
269.325,1.052
269.335,1.079
269.345,1.105
269.355,1.1
269.365,1.03
269.375,0.895
269.385,0.79
269.395,0.749
269.405,0.733
269.415,0.733
269.425,0.754
269.435,0.791
269.445,0.834
269.455,0.893
269.465,0.951
269.475,1.005
269.485,1.061
269.495,1.1
269.505,1.118
269.515,1.113
269.525,1.086
269.535,1.057
269.545,1.039
269.555,1.023
269.565,0.995
269.575,0.954
269.585,0.909
269.595,0.871
269.605,0.889
269.615,0.999
269.625,1.183
269.635,1.354
269.645,1.484
269.655,1.543
269.665,1.579
269.675,1.613
269.685,1.624
269.695,1.62
269.705,1.595
269.715,1.55
269.725,1.495
269.735,1.407
269.745,1.309
269.755,1.216
269.765,1.141
269.775,1.093
269.785,1.052
269.795,1.023
269.805,1.001
269.815,0.976
269.825,0.948
269.835,0.914
269.845,0.873
269.855,0.834
269.865,0.808
269.875,0.801
269.885,0.807
269.895,0.823
269.905,0.834
269.915,0.835
269.925,0.828
269.935,0.821
269.945,0.821
269.955,0.811
269.965,0.778
269.975,0.737
270.025,0.92
270.035,0.898
270.045,0.854
270.055,0.809
270.065,0.781
270.075,0.772
270.085,0.78
270.095,0.795
270.105,0.828
270.115,0.851
270.125,0.855
270.135,0.856
270.145,0.877
270.155,0.913
270.165,0.958
270.175,0.987
270.185,1.01
270.195,1.047
270.205,1.069
270.215,1.069
270.225,1.068
270.235,1.067
270.245,1.06
270.255,1.029
270.265,0.988
270.275,0.942
270.285,0.909
270.295,0.884
270.305,0.861
270.315,0.848
270.325,0.848
270.335,0.847
270.345,0.844
270.355,0.859
270.365,0.908
270.375,0.964
270.385,1.028
270.395,1.089
270.405,1.146
270.415,1.18
270.425,1.185
270.435,1.156
270.445,1.113
270.455,1.068
270.465,1.015
270.475,0.957
270.485,0.9
270.495,0.854
270.505,0.833
270.515,0.839
270.525,0.864
270.535,0.89
270.545,0.898
270.555,0.857
270.565,0.781
270.575,0.719
270.585,0.678
270.595,0.649
270.605,0.631
270.615,0.623
270.625,0.621
270.635,0.62
270.645,0.629
270.655,0.658
270.665,0.716
270.675,0.794
270.685,0.874
270.695,0.934
270.705,0.971
270.715,0.973
270.725,0.94
270.735,0.892
270.745,0.853
270.755,0.839
270.765,0.858
270.775,0.917
270.785,1.003
270.795,1.071
270.805,1.097
270.815,1.075
270.825,1.005
270.835,0.893
270.845,0.797
270.855,0.764
270.865,0.767
270.875,0.775
270.885,0.784
270.895,0.8
270.905,0.824
270.915,0.858
270.925,0.903
270.935,0.944
270.945,0.983
270.955,1.017
270.965,1.043
270.975,1.056
270.985,1.057
270.995,1.059
271.005,1.053
271.015,1.013
271.025,0.951
271.035,0.923
271.045,0.909
271.055,0.868
271.065,0.797
271.075,0.726
271.085,0.7
271.095,0.704
271.105,0.707
271.115,0.707
271.125,0.718
271.135,0.75
271.145,0.811
271.155,0.901
271.165,0.988
271.175,1.028
271.185,1.011
271.195,0.989
271.205,0.993
271.215,1.005
271.225,1.001
271.235,0.988
271.245,0.984
271.255,0.964
271.265,0.914
271.275,0.847
271.285,0.806
271.295,0.794
271.305,0.793
271.315,0.79
271.325,0.787
271.335,0.782
271.345,0.783
271.355,0.803
271.365,0.826
271.375,0.844
271.385,0.87
271.395,0.916
271.405,0.993
271.415,1.096
271.425,1.199
271.435,1.255
271.445,1.245
271.455,1.173
271.465,1.066
271.475,0.93
271.485,0.787
271.495,0.691
271.505,0.66
271.515,0.665
271.525,0.678
271.535,0.684
271.545,0.684
271.555,0.699
271.565,0.726
271.575,0.742
271.585,0.74
271.595,0.738
271.605,0.758
271.615,0.797
271.625,0.837
271.635,0.868
271.645,0.899
271.655,0.931
271.665,0.962
271.675,0.985
271.685,0.999
271.695,0.991
271.705,0.949
271.715,0.886
271.725,0.841
271.735,0.821
271.745,0.832
271.755,0.873
271.765,0.926
271.775,0.974
271.785,1.032
271.795,1.12
271.805,1.243
271.815,1.317
271.825,1.289
271.835,1.182
271.845,1.064
271.855,1.015
271.865,0.993
271.875,0.978
271.885,0.974
271.895,0.983
271.905,1.0
271.915,1.012
271.925,1.009
271.935,0.988
271.945,0.972
271.955,0.944
271.965,0.905
271.975,0.859
271.985,0.805
271.995,0.736
272.005,0.681
272.015,0.657
272.025,0.672
272.035,0.719
272.045,0.777
272.055,0.843
272.065,0.92
272.075,0.994
272.085,1.043
272.095,1.015
272.105,0.95
272.115,0.894
272.125,0.857
