Depth(m),Cond(uS)
7.475,0.902
7.485,0.9
7.495,0.915
7.505,0.94
7.515,0.959
7.525,0.964
7.535,0.963
7.545,0.953
7.555,0.93
7.565,0.893
7.575,0.837
7.585,0.796
7.595,0.78
7.605,0.798
7.615,0.844
7.625,0.908
7.635,0.989
7.645,1.079
7.655,1.158
7.665,1.215
7.675,1.24
7.685,1.249
7.695,1.252
7.705,1.255
7.715,1.251
7.725,1.247
7.735,1.235
7.745,1.221
7.755,1.205
7.765,1.181
7.775,1.149
7.785,1.107
7.795,1.057
7.805,0.998
7.815,0.925
7.825,0.861
7.835,0.808
7.845,0.773
7.855,0.758
7.865,0.756
7.875,0.761
7.885,0.767
7.895,0.768
7.905,0.767
7.915,0.769
7.925,0.778
7.935,0.792
7.945,0.813
7.955,0.833
7.965,0.845
7.975,0.839
7.985,0.801
7.995,0.749
8.005,0.71
8.015,0.698
8.025,0.71
8.035,0.737
8.045,0.77
8.055,0.8
8.065,0.813
8.075,0.808
8.085,0.794
8.095,0.779
8.105,0.767
8.115,0.762
8.125,0.765
8.135,0.777
8.145,0.788
8.155,0.803
8.165,0.82
8.175,0.837
8.185,0.845
8.195,0.855
8.205,0.866
8.215,0.875
8.225,0.894
8.235,0.917
8.245,0.926
8.255,0.929
8.265,0.932
8.275,0.95
8.285,0.976
8.295,0.992
8.305,0.985
8.315,0.967
8.325,0.947
8.335,0.949
8.345,0.969
8.355,1.007
8.365,1.07
8.375,1.147
8.385,1.226
8.395,1.28
8.405,1.293
8.415,1.254
8.425,1.176
8.435,1.108
8.445,1.064
8.455,1.053
8.465,1.058
8.475,1.064
8.485,1.064
8.495,1.059
8.505,1.047
8.515,1.027
8.525,1.007
8.535,0.993
8.545,0.984
8.555,0.977
8.565,0.976
8.575,0.981
8.585,0.997
8.595,1.026
8.605,1.06
8.615,1.078
8.625,1.079
8.635,1.072
8.645,1.067
8.655,1.064
8.665,1.059
8.675,1.043
8.685,1.004
8.695,0.935
8.705,0.852
8.715,0.787
8.725,0.737
8.735,0.692
8.745,0.669
8.755,0.662
8.765,0.662
8.775,0.663
8.785,0.666
8.795,0.672
8.805,0.687
8.815,0.712
8.825,0.763
8.835,0.832
8.845,0.908
8.855,0.971
8.865,1.002
8.875,1.015
8.885,1.006
8.895,0.993
8.905,0.996
8.915,1.02
8.925,1.075
8.935,1.145
8.945,1.211
8.955,1.25
8.965,1.268
8.975,1.267
8.985,1.243
8.995,1.205
9.005,1.14
9.015,1.043
9.025,0.935
9.035,0.844
9.045,0.791
9.055,0.757
9.065,0.725
9.075,0.689
9.085,0.65
9.095,0.626
9.105,0.612
9.115,0.607
9.125,0.603
9.135,0.599
9.145,0.597
9.155,0.603
9.165,0.617
9.175,0.637
9.185,0.663
9.195,0.695
9.205,0.737
9.215,0.774
9.225,0.807
9.235,0.826
9.245,0.846
9.255,0.897
9.265,0.991
9.275,1.102
9.285,1.211
9.295,1.269
9.305,1.28
9.315,1.268
9.325,1.245
9.335,1.208
9.345,1.163
9.355,1.123
9.365,1.091
9.375,1.073
9.385,1.071
9.395,1.082
9.405,1.108
9.415,1.138
9.425,1.163
9.435,1.168
9.445,1.153
9.455,1.122
9.465,1.099
9.475,1.086
9.485,1.081
9.495,1.068
9.505,1.051
9.515,1.023
9.525,0.978
9.535,0.908
9.545,0.805
9.555,0.726
9.565,0.678
9.575,0.659
9.585,0.655
9.595,0.654
9.605,0.658
9.615,0.677
9.625,0.714
9.635,0.773
9.645,0.833
9.655,0.892
9.665,0.949
9.675,0.985
9.685,1.002
9.695,1.01
9.705,1.012
9.715,1.014
9.725,1.017
9.735,1.023
9.745,1.037
9.755,1.061
9.765,1.082
9.775,1.105
9.785,1.129
9.795,1.148
9.805,1.159
9.815,1.154
9.825,1.128
9.835,1.069
9.845,0.968
9.855,0.878
9.865,0.808
9.875,0.774
9.885,0.764
9.895,0.76
9.905,0.761
9.915,0.767
9.925,0.772
9.935,0.766
9.945,0.743
9.955,0.704
9.965,0.66
9.975,0.614
9.985,0.578
9.995,0.571
10.005,0.595
10.015,0.638
10.025,0.671
10.035,0.696
10.045,0.713
10.055,0.724
10.065,0.733
10.075,0.74
10.085,0.751
10.095,0.769
10.105,0.793
10.115,0.823
10.125,0.853
10.135,0.868
10.145,0.86
10.155,0.83
10.165,0.797
10.175,0.773
10.185,0.766
10.195,0.783
10.205,0.818
10.215,0.864
10.225,0.903
10.235,0.92
10.245,0.916
10.255,0.897
10.265,0.853
10.275,0.795
10.285,0.733
10.295,0.69
10.305,0.662
10.315,0.651
10.325,0.648
10.335,0.639
10.345,0.621
10.355,0.605
10.365,0.59
10.375,0.575
10.385,0.565
10.395,0.565
10.405,0.573
10.415,0.585
10.425,0.617
10.435,0.674
10.445,0.757
10.455,0.836
10.465,0.914
10.475,0.99
10.485,1.047
10.495,1.081
10.505,1.094
10.515,1.095
10.525,1.094
10.535,1.084
10.545,1.064
10.555,1.038
10.565,1.001
10.575,0.954
10.585,0.905
10.595,0.865
10.605,0.834
10.615,0.819
10.625,0.812
10.635,0.799
10.645,0.767
10.655,0.717
10.665,0.673
10.675,0.646
10.685,0.646
10.695,0.661
10.705,0.672
10.715,0.67
10.725,0.651
10.735,0.62
10.745,0.586
10.755,0.557
10.765,0.547
10.775,0.548
10.785,0.555
10.795,0.555
10.805,0.559
10.815,0.567
10.825,0.58
10.835,0.591
10.845,0.606
10.855,0.624
10.865,0.645
10.875,0.666
10.885,0.699
10.895,0.744
10.905,0.804
10.915,0.871
10.925,0.931
10.935,0.988
10.945,1.038
