Depth_m,Br
31.055,0.202
31.175,0.12
31.19,0.604
31.205,0.017
31.37,0.098
31.385,0.07
31.58,0.072
31.595,0.329
31.61,0.594
31.625,0.491
31.64,0.404
31.655,0.626
31.67,0.833
31.685,0.319
31.865,0.083
31.88,0.891
31.895,1.173
31.91,0.711
31.954,0.025
31.969,0.034
32.029,0.18
32.044,0.146
32.059,0.146
32.074,0.359
32.089,0.43
32.104,0.615
32.119,0.682
32.134,0.721
32.149,0.869
32.164,1.184
32.178,1.133
32.193,1.032
32.208,1.438
32.223,1.314
32.238,0.406
32.372,0.149
32.402,0.25
32.417,0.863
32.432,0.714
32.447,0.626
32.462,0.681
32.477,0.718
32.492,0.685
32.507,0.795
32.522,0.649
32.536,0.245
32.656,0.563
32.67,1.06
32.685,1.528
32.7,1.707
32.715,2.336
32.73,1.955
32.745,1.057
32.76,0.968
32.775,1.309
32.789,1.749
32.804,1.085
32.998,0.009
33.013,0.072
33.027,0.58
33.042,0.554
33.057,0.239
33.072,0.294
33.087,0.377
33.102,0.274
33.28,0.203
33.458,0.576
33.472,0.626
33.487,0.377
33.502,0.724
33.517,1.365
33.532,1.414
33.546,0.966
33.561,0.537
33.576,0.141
34.019,0.113
34.034,0.347
34.093,0.045
34.108,0.09
34.123,0.249
34.476,0.123
34.491,0.432
34.506,0.865
34.521,1.219
34.535,1.209
34.55,0.963
34.565,0.486
34.726,0.661
34.741,0.859
34.756,0.834
34.77,1.062
34.785,1.129
34.8,1.034
34.814,0.632
35.035,0.465
35.049,0.681
35.064,0.718
35.079,0.754
35.123,0.801
35.137,0.792
35.152,0.516
35.167,0.368
35.181,0.308
35.196,0.099
35.737,0.567
35.752,0.624
35.767,0.55
35.781,0.77
35.796,0.951
35.81,1.103
35.825,1.056
35.839,1.299
35.854,1.233
35.869,1.361
35.883,1.255
35.898,1.126
35.912,0.83
35.927,0.819
35.942,0.676
35.956,0.656
35.971,0.165
35.985,0.324
36.0,0.275
36.015,0.289
36.102,0.039
36.117,0.491
36.131,0.603
36.146,0.733
36.16,0.635
36.175,0.759
36.189,0.939
36.204,0.928
36.219,1.073
36.233,0.984
36.248,1.375
36.262,1.424
36.277,1.553
36.291,1.489
36.306,1.453
36.32,1.015
36.335,0.647
36.35,0.546
36.364,0.464
36.379,0.561
36.393,0.587
36.408,0.902
36.422,1.317
36.437,1.103
36.451,0.453
36.669,0.052
36.684,0.395
36.698,0.774
36.713,1.082
36.727,1.674
36.742,1.981
36.756,1.822
36.771,1.133
36.785,0.693
36.988,0.077
37.003,0.959
37.017,1.443
37.032,1.973
37.046,2.574
37.061,2.863
37.075,2.987
37.09,2.941
37.104,3.008
37.119,2.569
37.133,1.884
37.148,1.071
37.162,0.372
37.177,0.022
37.307,0.164
37.321,0.364
37.336,0.655
37.35,0.931
37.365,0.763
37.379,0.557
37.394,0.494
37.61,0.316
37.625,0.776
37.639,0.909
37.654,1.314
37.668,1.592
37.682,1.629
37.697,1.632
37.711,1.621
37.726,1.27
37.74,1.421
37.755,1.77
37.769,1.485
37.783,0.996
37.798,0.35
37.812,0.13
37.827,0.208
37.841,0.134
37.856,0.358
37.87,0.67
37.884,0.964
37.899,1.177
37.913,1.274
37.928,1.135
37.942,0.846
37.956,0.292
38.129,0.342
38.144,0.421
38.158,0.52
38.172,0.457
38.187,0.509
38.201,0.661
38.215,0.855
38.23,0.552
38.244,0.368
38.388,0.024
38.402,0.296
38.417,0.42
38.431,0.881
38.445,0.792
38.46,0.491
38.646,0.032
38.661,0.232
38.675,0.398
38.689,0.143
38.704,0.964
38.718,2.069
38.732,4.225
38.747,3.955
38.761,3.496
38.775,1.768
38.79,2.074
38.804,1.844
38.818,1.328
38.833,0.889
38.847,0.292
38.947,0.067
38.961,0.501
38.976,1.172
38.99,1.008
39.004,0.314
39.019,0.203
39.033,0.335
39.047,0.031
39.276,0.06
39.305,0.139
39.319,0.371
39.333,0.415
39.347,0.429
39.362,0.449
39.376,0.503
39.39,0.495
39.404,0.33
39.604,0.232
39.618,0.459
39.633,0.349
39.647,0.112
39.661,0.415
39.676,1.102
39.69,1.363
39.704,1.003
39.732,0.07
39.918,0.282
39.932,0.806
39.946,1.064
39.96,1.26
39.975,1.517
39.989,1.721
40.003,1.6
40.017,1.46
40.031,1.338
40.046,1.226
40.06,1.206
40.074,1.341
40.088,1.524
40.102,1.185
40.131,0.357
40.287,0.482
40.301,0.444
40.316,0.012
40.5,0.316
40.514,0.619
40.528,0.546
40.542,0.704
40.557,0.559
40.571,0.408
40.585,0.268
40.599,0.023
40.939,0.302
40.953,1.347
40.967,1.749
40.981,1.844
40.995,1.869
41.009,1.795
41.024,1.826
41.038,1.914
41.052,1.883
41.066,1.823
41.08,1.553
41.094,1.171
41.108,1.196
41.122,1.828
41.137,2.478
41.151,3.19
41.165,3.747
41.179,3.602
41.193,3.35
41.207,2.667
41.221,2.161
