Depth(m),SO4(ng/g)
592.2673000000087,31.090123337067997
592.2912000000088,37.00558195917679
592.3151000000088,23.033390741911376
592.3390000000088,17.93162232640118
592.3629000000088,15.251184722191903
592.3868000000089,14.591426295712074
592.4107000000089,12.552618438866757
592.4346000000089,8.260797330193517
592.4585000000089,16.432775805079697
592.482400000009,20.084861483621182
592.506300000009,27.103782137265604
592.530200000009,51.767952209308206
592.554100000009,37.470607832352904
592.5780000000091,27.97196704498213
592.6019000000091,30.01952810524753
592.6258000000091,18.209727168314828
592.6497000000091,18.893111810650563
592.6736000000092,14.049848793927879
592.6975000000092,13.175989138940247
592.7214000000092,14.51996214884749
592.7453000000093,28.202167299985646
592.7692000000093,37.40818863031447
592.7931000000093,54.435611445211364
592.8180000000093,24.7007664136033
592.8407000000093,18.740134770088925
592.8610000000093,14.239400919552347
592.8813000000093,13.118350843054055
592.9016000000094,15.761682209235971
592.9219000000094,16.971863317608605
592.9422000000094,15.196358146761588
592.9625000000094,15.143835740880778
592.9828000000094,25.199910428570398
593.0031000000095,43.44154326816928
593.0234000000095,31.116693010530916
593.0437000000095,28.271584132177146
593.0640000000095,20.397726041448458
593.0843000000095,21.57352005001186
593.1046000000096,20.46652034572759
593.1249000000096,19.783092056503076
593.1452000000096,21.183643101194047
593.1655000000096,18.256333696780537
593.1858000000096,25.339696017442346
593.2061000000097,27.731538359852173
593.2264000000097,38.97296243056408
593.2467000000097,24.021331619513354
593.2670000000097,15.968313973339784
593.2873000000097,18.344084312719865
593.3076000000098,29.001763082757535
593.3279000000098,37.942600151653025
593.3482000000098,60.45690963077538
593.3685000000098,17.044646498692803
593.3888000000098,33.470098311867496
593.4091000000099,22.536649183746714
593.4294000000099,20.673443825182872
593.4497000000099,35.805285306432125
593.4700000000099,12.348577331204808
593.4903000000099,12.74898131604627
593.51060000001,16.01996468721076
593.53090000001,15.506581103034094
593.55120000001,30.29536901261946
593.57150000001,51.343746745883124
593.59180000001,29.31518143384123
593.6121000000101,37.657228813384116
593.6324000000101,16.96295065625519
593.6527000000101,16.48502059554051
593.6730000000101,10.417192154601823
593.6933000000101,16.302240187550005
593.7136000000102,13.513005916048456
593.7339000000102,12.635187868330245
593.7542000000102,19.495768219887996
593.7745000000102,14.218490490620935
593.7948000000102,21.631500249210834
593.8151000000103,32.982207786119844
593.8354000000103,28.30917567816851
593.8580000000103,25.489909852452232
593.8814000000103,10.68356003091659
593.9042000000103,11.70032817600912
593.9270000000103,25.221162073655616
593.9498000000102,11.378551411793675
593.9726000000102,101.89544702644524
593.9954000000101,155.80971015950047
594.0182000000101,123.98599427874731
594.0410000000101,122.78836533407346
594.06380000001,20.50174447582655
594.08660000001,18.59145182189393
594.1094000000099,25.506767567521056
594.1322000000099,19.744875360317664
594.1550000000099,41.91653965341636
594.1778000000098,59.789331828492514
594.2006000000098,44.61730047010218
594.2234000000097,45.24606227066067
594.2462000000097,14.416666064708135
594.2690000000097,12.962433490771458
594.2918000000096,14.474425118439827
594.3146000000096,15.515352148060254
594.3374000000096,14.311202929852568
594.3602000000095,20.529518843371907
594.3830000000095,36.84821793035647
594.4058000000094,18.71051855044698
594.4286000000094,34.59913173501304
594.4514000000094,20.236447039348555
594.4742000000093,16.96925808184758
